,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.98,0.86,0.85,0.07,0.87,0.85,0.64,0.94,0.89,0.88
firebird.csv,0.04,0.52,0.62,0.56,0.66,0.63,0.47,0.84,0.48,0.59
fmri-dmt.csv,0.95,0.94,0.81,0.98,0.93,0.97,0.93,1.0,1.0,0.0
htmlunit.csv,0.88,0.86,0.82,0.72,0.72,0.06,0.67,1.0,0.58,0.9
monetdb.csv,0.64,0.73,0.55,0.56,0.55,0.67,0.58,0.6,0.04,0.86
ontomorphtab.csv,0.7,0.03,0.92,0.59,0.62,0.65,0.64,0.77,0.66,0.71
smarttag.csv,0.56,0.56,1.04,0.61,0.53,0.55,0.46,0.03,0.53,0.45
taokgame.csv,0.84,0.9,0.0,0.81,0.75,0.95,0.81,0.74,0.73,1.0
webdriver.csv,0.57,0.54,0.52,0.58,0.55,0.55,0.04,0.77,0.53,0.75
xbplayer.csv,0.79,0.71,0.72,0.61,0.02,0.72,0.62,0.73,0.78,0.86
