,firebird.csv,ontomorphtab.csv,taokgame.csv,applet2app.csv,xbplayer.csv,htmlunit.csv,webdriver.csv,smarttag.csv,monetdb.csv,fmri-dmt.csv
applet2app.csv,0.43,0.59,0.4,0.63,0.46,0.4,0.53,0.83,0.45,0.63
firebird.csv,0.51,0.54,0.52,0.55,0.56,0.36,0.46,0.53,0.49,0.38
fmri-dmt.csv,0.96,0.5,0.92,0.98,0.96,0.75,0.75,0.5,0.5,0.83
htmlunit.csv,0.97,0.44,0.93,0.56,0.69,0.6,0.54,0.4,0.58,0.32
monetdb.csv,0.6,0.69,0.51,0.56,0.55,0.76,0.62,0.5,0.59,0.92
ontomorphtab.csv,0.55,0.44,0.37,0.54,0.39,0.32,0.38,0.42,0.47,0.31
smarttag.csv,0.4,0.47,0.47,0.6,0.54,0.56,0.4,0.73,0.5,0.52
taokgame.csv,0.97,0.86,0.9,1.0,0.86,0.9,0.94,0.83,0.95,0.0
webdriver.csv,0.46,0.56,0.89,0.59,0.61,0.47,0.49,0.5,0.51,0.52
xbplayer.csv,0.86,0.53,0.76,0.61,0.66,0.84,0.66,0.78,0.96,0.79
