,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.9,0.97,0.97,0.0,0.98,0.94
codeblocks.csv,0.59,1.0,0.01,0.64,0.4,0.71
dataobjectsdotnet.csv,0.7,0.74,0.72,0.81,0.99,0.04
n2cms.csv,0.0,0.91,0.66,0.52,0.82,0.68
nug.csv,0.63,0.0,0.83,0.77,0.92,0.79
uclmda.csv,0.92,0.79,0.64,0.87,0.0,0.75
