,n2cms.csv,nug.csv,codeblocks.csv,bulmages.csv,uclmda.csv,dataobjectsdotnet.csv
bulmages.csv,0.17,0.08,0.05,1.0,0.05,0.11
codeblocks.csv,0.5,0.46,1.0,0.33,0.87,0.53
dataobjectsdotnet.csv,0.41,0.33,0.43,0.25,0.02,0.98
n2cms.csv,1.0,0.29,0.5,0.42,0.68,0.47
nug.csv,0.5,1.0,0.49,0.27,0.25,0.36
uclmda.csv,0.15,0.29,0.65,0.17,1.0,0.38
