,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.27,0.56,0.67,0.12,1.0,1.0,0.05,1.0,0.0,0.79,1.0,1.0,0.51
badtrinity-zero.csv,0.42,0.5,1.0,0.48,0.41,0.12,0.05,0.81,0.07,0.93,0.98,0.0,0.52
bibletime.csv,0.49,0.48,0.55,0.41,0.38,0.1,0.09,0.74,0.09,1.0,0.71,0.9,0.46
critterding.csv,0.49,0.97,0.44,0.4,0.35,0.09,0.13,0.74,0.07,0.94,0.92,0.93,0.52
elateportal.csv,0.41,0.5,0.58,0.34,0.4,0.08,0.07,0.7,0.08,0.88,1.0,0.76,0.51
fmri-dmt.csv,0.47,0.0,0.71,1.0,0.33,1.0,0.22,0.0,0.83,1.0,0.0,0.5,0.75
ftm.csv,0.43,0.44,0.75,0.3,0.4,0.16,0.09,0.72,0.05,0.9,0.67,0.94,0.98
gusanos.csv,0.48,0.51,0.59,0.4,0.34,0.1,0.06,0.98,0.1,0.9,0.9,0.85,0.53
monetdb.csv,0.42,0.53,0.65,0.31,0.98,0.09,0.06,0.71,0.06,0.81,0.97,0.65,0.52
quarkplayer.csv,0.2,0.0,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
reactos-mirror.csv,0.99,0.51,0.51,0.37,0.36,0.1,0.08,0.71,0.07,0.84,0.86,0.76,0.45
sandiaportals.csv,0.43,0.44,0.53,0.37,0.34,0.12,0.08,0.77,0.1,0.92,0.71,1.0,0.48
xbplayer.csv,0.49,0.6,0.71,1.0,0.53,0.16,0.11,0.91,0.11,0.82,1.0,0.83,0.77
