,reactos-mirror.csv,critterding.csv,badtrinity-zero.csv,xbplayer.csv,monetdb.csv,alpine.csv,quarkplayer.csv,gusanos.csv,fmri-dmt.csv,bibletime.csv,elateportal.csv,sandiaportals.csv,ftm.csv
alpine.csv,0.98,0.86,0.9,0.96,0.94,0.08,0.81,0.9,1.0,0.86,0.95,0.81,0.71
badtrinity-zero.csv,0.87,0.79,0.03,0.71,0.6,0.52,0.81,0.69,0.8,0.44,0.19,1.0,0.62
bibletime.csv,0.62,0.72,0.67,0.57,0.66,0.74,0.6,0.68,0.81,0.0,1.02,0.36,0.88
critterding.csv,0.82,0.09,0.78,0.66,0.86,0.72,0.58,0.71,0.78,0.56,0.54,0.76,0.62
elateportal.csv,0.73,0.64,0.58,0.85,0.59,0.78,0.82,0.71,0.76,0.55,0.0,0.84,0.63
fmri-dmt.csv,0.93,1.0,0.94,0.93,0.96,0.92,0.82,1.0,0.17,0.95,1.0,0.98,0.95
ftm.csv,0.71,0.73,0.7,0.73,0.6,0.55,0.64,0.68,0.89,0.61,0.97,0.72,0.07
gusanos.csv,0.69,0.63,0.56,0.62,0.67,0.62,0.73,0.05,0.68,0.46,0.66,0.53,0.61
monetdb.csv,0.7,0.63,0.53,0.71,0.04,0.65,0.74,0.69,0.87,0.74,0.22,0.86,0.64
quarkplayer.csv,0.99,1.0,1.0,1.0,0.98,1.0,0.0,0.96,1.0,1.0,1.0,1.0,1.0
reactos-mirror.csv,0.03,0.74,0.76,0.62,0.69,0.63,0.83,0.78,0.95,0.74,1.02,0.89,0.94
sandiaportals.csv,0.67,0.79,0.65,0.73,0.68,0.54,0.61,0.59,0.65,0.38,0.95,0.0,0.74
xbplayer.csv,0.75,0.83,0.69,0.05,0.81,0.76,0.67,0.58,0.71,0.82,0.98,0.91,0.63
