,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.75,0.62,0.96,0.8,0.25
chaperon.csv,0.87,0.88,0.83,0.0,0.84
mule.csv,0.01,0.81,0.84,1.0,0.79
springside.csv,0.63,0.05,0.71,0.67,0.56
swtfox.csv,0.77,0.87,0.03,0.69,0.64
