,mule.csv,springside.csv,swtfox.csv,chaperon.csv,calcubetimer.csv
calcubetimer.csv,0.74,0.32,0.89,0.62,0.25
chaperon.csv,0.12,0.04,0.09,0.0,0.0
mule.csv,0.0,0.14,0.37,0.06,0.25
springside.csv,0.59,0.05,0.55,0.62,0.25
swtfox.csv,0.68,0.81,0.0,0.65,0.0
