,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.62,0.43,0.63,0.45,0.5,0.51,0.49,0.1,0.09,0.47,0.61,0.57,0.69
avisynth2.csv,0.07,0.02,0.0,0.55,0.11,0.06,0.15,0.0,0.99,0.04,0.0,0.0,0.07
beast-mcmc.csv,0.74,0.47,0.53,0.4,0.39,0.45,0.67,0.73,0.54,0.49,0.54,0.58,0.49
dataobjectsdotnet.csv,0.54,0.5,0.57,0.0,0.2,0.56,0.46,0.45,0.8,0.59,0.64,0.56,0.3
exist.csv,0.69,0.43,0.51,0.47,0.54,0.78,0.54,0.27,0.54,0.54,0.53,0.09,0.81
foursquared.csv,0.13,0.1,0.2,0.0,0.05,0.18,0.24,0.82,0.69,0.13,0.09,0.27,0.05
jaxlib.csv,0.4,0.31,0.46,0.99,0.5,0.18,0.55,0.71,0.38,0.31,0.53,0.39,0.09
jrefactory.csv,0.42,0.71,0.36,0.54,0.24,0.09,0.16,0.48,0.0,0.47,0.46,0.55,0.23
nodal.csv,0.3,0.35,0.2,0.0,0.61,0.42,0.42,0.1,0.0,0.21,0.14,0.0,0.5
opendvr.csv,0.71,0.38,0.51,0.0,0.61,0.65,0.86,0.67,0.0,0.51,0.58,0.68,0.6
pokenetonline.csv,0.57,0.19,0.29,0.0,0.59,0.0,0.78,0.73,0.0,0.5,0.62,0.3,0.67
simplewebservices.csv,0.67,0.37,0.52,0.0,0.66,0.72,0.4,0.65,0.48,0.56,0.67,0.57,0.8
uface.csv,0.72,0.53,0.61,0.09,0.58,0.69,0.71,0.55,0.0,0.56,0.57,0.17,0.94
