,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,3.0,0.0,1.0,15.0,6.0,14.0,0.0,7.0,34.0,0.0,0.0,0.0,0.0
avisynth2.csv,0.0,0.0,107.0,2.0,0.0,1.0,3.0,69.0,0.0,3.0,240.0,74.0,0.0
beast-mcmc.csv,5.0,0.0,0.0,17.0,0.0,10.0,0.0,0.0,27.0,2.0,0.0,0.0,0.0
dataobjectsdotnet.csv,7.0,0.0,1.0,49.0,1.0,12.0,2.0,1.0,14.0,0.0,0.0,0.0,0.0
exist.csv,0.0,0.0,0.0,19.0,8.0,0.0,0.0,7.0,23.0,1.0,5.0,0.0,1.0
foursquared.csv,5.0,0.0,0.0,49.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0
jaxlib.csv,7.0,0.0,0.0,2.0,0.0,6.0,0.0,6.0,10.0,3.0,0.0,5.0,0.0
jrefactory.csv,8.0,1.0,0.0,6.0,0.0,0.0,0.0,14.0,64.0,1.0,0.0,0.0,0.0
nodal.csv,4.0,0.0,0.0,49.0,0.0,7.0,2.0,4.0,64.0,3.0,2.0,74.0,0.0
opendvr.csv,11.0,4.0,1.0,25.0,5.0,3.0,1.0,5.0,35.0,1.0,4.0,0.0,0.0
pokenetonline.csv,15.0,0.0,1.0,25.0,1.0,11.0,0.0,0.0,35.0,1.0,0.0,0.0,1.0
simplewebservices.csv,6.0,1.0,1.0,25.0,1.0,6.0,0.0,1.0,30.0,1.0,0.0,0.0,0.0
uface.csv,10.0,1.0,0.0,29.0,0.0,4.0,0.0,5.0,35.0,2.0,3.0,0.0,0.0
