,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.47,0.55,0.38,0.69,0.43,0.72,0.2,0.2,0.98,0.46,0.49,0.74,0.11
avisynth2.csv,0.05,0.13,0.02,0.1,0.05,0.06,0.12,0.02,0.03,0.03,0.02,0.0,0.04
beast-mcmc.csv,0.24,0.74,0.73,0.77,0.22,0.85,0.24,0.63,0.81,0.34,0.33,0.57,0.17
dataobjectsdotnet.csv,0.2,0.66,0.65,0.23,0.25,0.54,0.28,0.39,0.55,0.29,0.45,0.55,0.41
exist.csv,0.61,0.79,0.65,0.85,0.57,0.27,0.8,0.93,0.81,0.7,0.77,0.98,0.26
foursquared.csv,0.05,0.13,0.1,0.06,0.03,0.12,0.04,0.22,0.21,0.04,0.03,0.21,0.0
jaxlib.csv,0.3,0.34,0.4,0.06,0.71,0.18,0.72,0.5,0.16,0.25,0.71,0.42,0.98
jrefactory.csv,0.74,0.37,0.27,0.25,0.94,0.01,0.96,0.78,0.02,0.51,0.69,0.45,0.94
nodal.csv,0.2,0.29,0.06,0.25,0.14,0.34,0.32,0.15,0.1,0.18,0.14,0.02,0.13
opendvr.csv,0.56,0.74,0.29,1.0,0.4,0.68,0.28,0.46,1.0,0.5,0.54,0.32,0.07
pokenetonline.csv,0.77,0.95,0.92,1.0,0.49,1.0,0.24,0.65,1.0,0.75,0.72,0.92,0.13
simplewebservices.csv,0.64,0.5,0.35,1.0,0.6,0.36,0.88,0.7,0.77,0.51,0.36,0.49,0.26
uface.csv,0.44,0.58,0.62,0.98,0.51,0.66,0.48,0.8,1.0,0.49,0.75,0.96,0.02
