,beast-mcmc.csv,jrefactory.csv,adonthell.csv,jaxlib.csv,nodal.csv,exist.csv,pokenetonline.csv,foursquared.csv,avisynth2.csv,dataobjectsdotnet.csv,simplewebservices.csv,opendvr.csv,uface.csv
adonthell.csv,0.45,0.47,0.66,0.06,0.36,0.59,0.59,0.11,0.09,0.45,0.55,0.46,0.76
avisynth2.csv,0.1,0.04,0.0,0.25,0.14,0.1,0.2,0.0,0.75,0.06,0.0,0.0,0.12
beast-mcmc.csv,0.62,0.55,0.61,0.05,0.36,0.72,0.74,0.61,0.11,0.49,0.52,0.42,0.58
dataobjectsdotnet.csv,0.49,0.55,0.62,0.0,0.19,0.59,0.54,0.38,0.15,0.59,0.58,0.41,0.36
exist.csv,0.49,0.54,0.56,0.09,0.36,0.8,0.83,0.51,0.11,0.52,0.55,0.46,0.85
foursquared.csv,0.17,0.13,0.27,0.0,0.08,0.24,0.33,0.74,0.22,0.18,0.13,0.26,0.07
jaxlib.csv,0.34,0.36,0.5,0.57,0.34,0.24,0.71,0.58,0.14,0.34,0.5,0.31,0.75
jrefactory.csv,0.29,0.73,0.41,0.13,0.42,0.13,0.63,0.42,0.0,0.44,0.42,0.41,0.74
nodal.csv,0.29,0.41,0.27,0.0,0.58,0.48,0.51,0.12,0.0,0.26,0.18,0.0,0.6
opendvr.csv,0.5,0.44,0.56,0.08,0.45,0.74,0.89,0.55,0.09,0.48,0.52,0.56,0.69
pokenetonline.csv,0.47,0.53,0.67,0.08,0.41,0.72,0.83,0.62,0.09,0.5,0.61,0.44,0.74
simplewebservices.csv,0.49,0.41,0.56,0.08,0.46,0.73,0.84,0.56,0.08,0.52,0.62,0.43,0.84
uface.csv,0.53,0.57,0.65,0.04,0.41,0.76,0.79,0.55,0.09,0.52,0.57,0.4,0.96
