,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.59,0.73,0.32,0.16,0.28,0.06,0.35,0.64,0.23,0.34,0.41
linux-ntfs.csv,0.67,0.53,0.64,0.17,0.23,0.59,0.79,0.52,0.16,0.77,0.41
olap-navigator.csv,0.04,0.61,0.13,0.15,0.23,0.24,0.39,0.52,0.78,0.16,0.86
phonon-vlc-mplayer.csv,0.0,0.22,0.16,0.49,0.45,0.51,0.48,0.12,0.92,0.03,0.69
qgis.csv,0.04,0.27,0.3,0.0,0.0,0.8,0.58,0.27,0.57,0.33,0.79
qse.csv,0.04,0.18,0.25,0.0,0.19,0.41,0.6,0.41,0.59,0.3,0.0
rebecca-aiml.csv,0.78,0.8,0.65,0.64,0.6,0.69,0.5,0.71,0.14,0.68,0.69
roller.csv,0.44,0.65,0.94,1.0,0.23,0.24,0.62,1.0,1.0,0.42,1.0
xapian.csv,0.3,0.31,0.45,0.28,0.36,0.75,0.84,0.83,0.95,0.2,0.41
zoolib.csv,0.04,0.22,0.12,0.0,0.0,0.39,0.38,0.24,0.35,0.09,0.72
