,lamp.csv,sevenupdate.csv,retromenu.csv,intact.csv,jbpm.csv,rohxel.csv,jpaul.csv,encog-cs.csv,stemkit.csv,panda3d.csv,soar.csv,jchassis.csv,gephex.csv,opendvr.csv,mevenide.csv,thedata.csv
encog-cs.csv,0.81,0.67,0.78,0.75,0.56,1.0,0.63,0.02,0.71,0.77,1.0,0.64,0.51,0.66,0.68,0.53
gephex.csv,0.77,0.5,0.18,0.38,0.22,0.27,0.15,0.22,0.86,0.79,0.0,0.18,0.0,0.7,0.19,0.82
intact.csv,0.3,0.33,0.76,0.0,0.31,0.64,0.51,0.27,0.49,0.27,0.24,0.23,0.22,0.32,0.38,0.34
jbpm.csv,0.24,0.0,0.07,0.05,0.0,0.09,0.0,0.0,0.0,0.07,0.28,0.02,0.02,0.11,0.0,0.16
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jpaul.csv,0.04,0.17,0.2,0.32,0.08,0.18,0.0,0.04,0.12,0.14,0.48,0.03,0.0,0.08,0.17,0.74
lamp.csv,0.0,0.0,0.09,0.11,0.06,0.0,0.07,0.11,0.07,0.16,0.12,0.03,0.02,0.04,0.09,0.19
mevenide.csv,0.16,0.0,0.18,0.23,0.19,0.09,0.2,0.08,0.06,0.45,1.0,0.48,0.07,0.17,0.01,0.45
opendvr.csv,0.32,0.17,0.67,0.47,0.62,0.64,0.37,0.14,0.58,0.64,0.76,0.39,0.49,0.0,0.45,0.4
panda3d.csv,0.16,0.17,0.02,0.08,0.03,0.09,0.0,0.14,0.12,0.0,0.2,0.15,0.2,0.09,0.08,0.16
retromenu.csv,0.07,0.17,0.02,0.1,0.08,0.0,0.07,0.04,0.03,0.13,0.16,0.0,0.05,0.04,0.03,0.13
rohxel.csv,0.95,1.0,0.98,0.86,0.93,0.0,0.9,0.86,0.9,0.94,0.96,0.92,0.8,0.96,0.98,0.9
sevenupdate.csv,0.84,0.0,0.76,0.77,0.66,0.55,0.76,0.41,0.85,0.87,0.48,0.8,0.8,1.0,0.7,0.92
soar.csv,0.81,0.5,0.98,0.82,0.81,0.45,0.83,0.92,0.93,0.79,0.0,0.89,0.88,0.87,0.52,0.94
stemkit.csv,0.24,0.17,0.04,0.14,0.19,0.27,0.12,0.18,0.0,0.51,0.4,0.36,0.29,0.55,0.24,0.27
thedata.csv,0.09,0.33,0.24,0.12,0.08,0.18,0.07,0.06,0.01,0.07,0.08,0.06,0.17,0.08,0.06,0.0
