,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.53,0.84,0.52,0.7,0.58,0.71,0.58,0.62,0.95,0.84,0.68,0.87,0.01
aubit4gl.csv,0.68,0.65,0.56,0.7,0.74,0.78,0.06,0.64,0.95,0.61,0.67,0.79,0.97
bionote.csv,0.9,1.0,1.0,1.0,0.93,0.77,0.95,0.87,1.0,0.97,0.0,0.93,0.77
liferea.csv,0.7,0.74,0.87,0.59,0.71,0.15,0.66,0.61,0.95,0.66,0.56,0.62,0.54
opensim4opencog.csv,0.78,1.01,0.84,0.78,0.79,0.85,1.0,0.09,0.89,0.69,0.79,0.84,0.47
pclasses.csv,0.68,0.0,0.84,0.72,1.01,1.0,1.0,0.96,1.0,0.92,1.0,0.82,1.0
plearn.csv,0.15,0.79,0.72,0.73,0.54,0.72,0.85,0.81,0.92,0.81,0.89,0.29,0.91
psrchive.csv,0.78,0.91,0.34,1.0,0.21,1.0,0.71,0.87,1.01,0.86,0.6,0.76,0.91
re2c.csv,0.75,0.59,0.0,0.85,0.5,0.92,0.62,0.9,0.61,0.79,0.97,0.58,0.97
rebecca-aiml.csv,0.71,0.91,0.83,0.88,0.67,0.68,0.78,0.69,1.01,0.79,0.64,0.01,0.86
thrust.csv,0.8,1.06,0.69,0.88,0.68,0.81,0.81,0.91,0.06,0.88,0.93,0.6,0.88
tzod.csv,0.62,0.85,0.59,0.04,0.52,0.61,0.55,0.67,0.95,0.75,0.54,0.89,0.48
yaprm.csv,0.61,0.63,0.56,0.68,0.52,0.93,0.69,0.75,0.62,0.08,0.92,0.73,0.63
