,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.58,0.83,0.9,0.62,0.58,0.35,0.48,0.67,0.83,0.36,0.49,0.48,0.69
aubit4gl.csv,0.56,0.69,0.94,0.45,0.51,0.6,0.52,0.79,0.78,0.51,0.56,0.65,0.89
bionote.csv,0.9,0.5,0.0,0.0,0.67,0.83,0.83,0.92,0.0,0.0,0.88,0.8,0.88
liferea.csv,0.66,0.75,0.5,0.41,0.67,0.82,0.47,0.54,0.8,0.58,0.44,0.69,0.59
opensim4opencog.csv,0.96,0.83,0.88,0.9,0.88,0.8,0.5,0.95,0.89,0.72,0.87,0.95,0.93
pclasses.csv,0.72,0.91,0.86,0.68,0.88,0.0,0.0,0.86,0.5,0.75,0.67,0.96,0.0
plearn.csv,0.7,0.54,0.75,0.42,0.73,0.56,0.4,0.9,0.5,0.38,0.89,0.65,0.69
psrchive.csv,0.95,0.8,0.83,0.0,0.91,0.67,0.86,0.9,0.83,0.93,0.76,0.89,0.75
re2c.csv,0.9,0.67,0.83,0.88,0.7,0.72,0.6,0.98,0.93,0.82,0.83,0.71,0.5
rebecca-aiml.csv,0.79,0.75,0.5,0.87,0.8,0.54,0.39,0.71,0.8,0.88,0.91,0.65,0.65
thrust.csv,0.96,0.74,0.73,0.9,0.76,0.79,0.41,0.84,0.82,0.92,0.83,0.77,0.97
tzod.csv,0.53,0.79,0.58,0.58,0.49,0.63,0.35,0.5,0.8,0.51,0.53,0.75,0.47
yaprm.csv,0.62,0.74,0.66,0.64,0.46,0.83,0.55,0.93,0.71,0.53,0.81,0.71,0.73
