,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.53,0.18,0.5,0.41,0.71,0.62,0.74,0.57,0.06,0.7,0.75,0.8,1.0
aubit4gl.csv,0.53,0.55,0.5,0.74,0.71,0.31,0.96,0.48,0.12,0.62,0.62,0.37,0.03
bionote.csv,0.1,0.0,0.0,0.0,0.07,0.23,0.06,0.13,0.0,0.03,1.0,0.07,0.23
liferea.csv,0.37,0.27,0.17,0.63,0.36,0.85,0.46,0.43,0.06,0.41,0.75,0.39,0.94
opensim4opencog.csv,0.22,0.0,0.17,0.22,0.21,0.15,0.0,0.91,0.12,0.32,0.25,0.17,0.54
pclasses.csv,0.34,1.0,0.17,0.33,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.19,0.0
plearn.csv,0.85,0.45,0.33,0.74,0.5,0.46,0.81,0.22,0.53,0.84,0.12,0.83,0.63
psrchive.csv,0.22,0.09,0.67,0.0,0.79,0.0,0.3,0.13,0.0,0.16,0.5,0.35,0.09
re2c.csv,0.25,0.45,1.0,0.19,0.57,0.15,0.48,0.13,0.41,0.24,0.12,0.43,0.03
rebecca-aiml.csv,0.31,0.09,0.17,0.15,0.36,0.46,0.72,0.43,0.0,0.24,0.38,1.0,0.63
thrust.csv,0.2,0.0,0.33,0.19,0.43,0.23,0.57,0.13,0.94,0.14,0.12,0.41,0.17
tzod.csv,0.58,0.18,0.5,0.96,0.64,0.46,0.67,0.52,0.06,0.49,0.5,0.22,0.66
yaprm.csv,0.53,0.45,0.83,0.37,0.64,0.08,0.37,0.26,0.53,0.92,0.12,0.28,0.37
