,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,1.0,0.0,2.0,32.0,12.0,11.0,0.0,30.0,0.0,6.0,0.0
emono.csv,1.0,0.0,0.0,224.0,26.0,9.0,0.0,124.0,2.0,2.0,0.0
haggle.csv,1.0,0.0,68.0,15.0,3.0,8.0,0.0,124.0,0.0,3.0,0.0
hannosset.csv,84.0,114.0,0.0,224.0,56.0,0.0,367.0,124.0,76.0,71.0,121.0
jas.csv,84.0,114.0,2.0,224.0,56.0,74.0,0.0,0.0,0.0,0.0,0.0
jgossipforum.csv,84.0,114.0,0.0,0.0,56.0,74.0,0.0,124.0,76.0,71.0,121.0
madman.csv,84.0,0.0,0.0,224.0,0.0,1.0,2.0,124.0,76.0,71.0,0.0
mediate.csv,5.0,2.0,0.0,55.0,15.0,15.0,0.0,3.0,3.0,0.0,0.0
ngl.csv,1.0,0.0,1.0,25.0,5.0,9.0,0.0,8.0,0.0,1.0,0.0
pustefix.csv,0.0,6.0,3.0,54.0,5.0,74.0,0.0,10.0,1.0,0.0,0.0
synecdoche.csv,0.0,1.0,1.0,22.0,5.0,9.0,0.0,12.0,3.0,0.0,0.0
