,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.6,0.63,0.81,0.72,0.5,0.46,0.54,0.54,0.53,0.47,0.53
emono.csv,0.82,0.77,0.87,0.97,0.49,0.75,0.83,0.94,0.92,0.53,0.53
haggle.csv,0.49,0.56,0.0,0.95,0.77,0.62,0.75,0.9,0.47,0.65,0.94
hannosset.csv,0.0,0.0,0.0,0.0,0.0,0.8,0.67,0.0,0.0,0.0,0.0
jas.csv,0.0,0.0,0.67,0.0,0.89,0.83,0.97,0.83,0.0,0.5,0.83
jgossipforum.csv,0.0,0.5,0.0,0.8,0.0,0.0,0.5,0.0,0.0,0.0,0.0
madman.csv,0.5,0.9,0.0,0.0,0.86,0.79,0.98,0.0,0.67,0.0,0.5
mediate.csv,0.67,0.52,0.45,0.66,0.86,0.69,0.62,0.49,0.71,0.45,0.62
ngl.csv,0.49,0.68,0.47,0.48,0.46,0.71,0.56,0.55,0.83,0.85,0.62
pustefix.csv,0.84,0.81,0.65,0.73,0.62,0.88,0.75,0.75,0.9,0.91,0.94
synecdoche.csv,0.63,0.66,0.64,0.63,0.81,0.62,0.65,0.48,0.55,0.62,0.55
