,pustefix.csv,haggle.csv,mediate.csv,jgossipforum.csv,madman.csv,hannosset.csv,ngl.csv,jas.csv,coot.csv,synecdoche.csv,emono.csv
coot.csv,0.18,0.73,0.5,0.07,0.19,0.08,0.64,0.08,1.0,0.42,0.69
emono.csv,0.18,0.5,0.8,0.0,0.14,0.08,0.51,0.0,0.67,0.38,1.0
haggle.csv,0.33,0.99,0.0,0.05,0.31,0.08,0.6,0.0,0.69,0.4,0.83
hannosset.csv,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
jas.csv,0.0,0.0,0.33,0.0,0.0,0.0,0.53,1.0,1.0,1.0,0.67
jgossipforum.csv,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
madman.csv,0.0,0.9,1.0,0.0,1.0,0.07,0.62,0.0,0.0,0.0,1.0
mediate.csv,0.33,0.65,0.98,0.03,0.05,0.06,0.55,0.1,0.38,0.51,0.64
ngl.csv,0.34,0.77,0.58,0.06,0.23,0.11,1.0,0.13,0.52,0.54,0.62
pustefix.csv,1.0,0.52,0.43,0.04,0.31,0.0,0.74,0.04,0.6,0.36,0.71
synecdoche.csv,0.42,0.71,0.55,0.03,0.12,0.12,0.49,0.07,0.73,1.0,0.67
