,barracudamvc.csv,arsenal-1.csv,alembik.csv,emisview.csv,trackit.csv,jitterbit.csv,mycila.csv,jppf-project.csv,cascading.csv,ontopia.csv,mevenide.csv
alembik.csv,0.23,0.04,1.0,0.39,0.07,0.17,0.0,0.38,0.15,0.18,0.24
arsenal-1.csv,0.31,0.93,0.14,0.35,0.12,0.26,0.1,0.32,0.28,0.22,0.48
barracudamvc.csv,0.99,0.89,0.86,0.96,0.78,0.68,0.7,0.74,0.97,0.47,0.9
cascading.csv,0.45,0.41,0.32,0.61,0.12,0.25,0.1,0.47,1.0,0.47,0.45
emisview.csv,0.15,0.07,0.59,0.96,0.1,0.33,0.4,0.25,0.23,0.12,0.24
jitterbit.csv,0.41,0.37,0.59,0.52,0.15,0.95,0.2,0.22,0.13,0.25,0.31
jppf-project.csv,0.9,0.96,0.86,0.96,0.95,0.65,0.8,1.0,0.84,0.89,0.93
mevenide.csv,0.2,0.52,0.45,0.26,0.15,0.59,0.0,0.29,0.17,0.13,0.93
mycila.csv,0.1,0.0,0.09,0.09,0.44,0.12,1.0,0.12,0.26,0.41,0.07
ontopia.csv,0.27,0.11,0.82,0.3,0.44,0.38,0.2,0.12,0.91,1.0,0.69
trackit.csv,0.4,0.81,0.32,0.0,0.98,0.23,0.2,0.39,0.21,0.2,0.31
