,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.49,0.27,0.98,1.0,0.39,0.0,0.46,0.49,0.32,1.0,0.39,0.46,0.97
echongl.csv,0.77,0.5,0.7,0.42,0.99,1.0,0.76,0.67,0.35,0.11,0.4,0.5,0.08
les-indemodables.csv,0.67,0.35,0.32,0.6,0.22,1.0,0.6,0.35,0.3,0.95,0.45,0.42,0.18
mbse.csv,0.59,0.53,0.38,0.95,0.33,1.0,0.66,0.47,0.59,0.3,0.35,0.4,0.47
ns-3-dev-def-routing.csv,0.49,0.23,0.28,0.18,0.25,1.0,0.98,0.34,0.35,0.46,0.32,0.28,0.16
psycle.csv,0.87,0.97,0.9,0.95,0.82,1.0,0.7,0.81,0.65,0.84,0.92,0.86,0.55
qpe.csv,0.74,0.35,0.6,0.05,0.1,0.0,0.45,0.26,0.43,0.27,0.22,0.31,0.26
simplewebservices.csv,0.41,0.43,0.38,0.74,0.1,1.0,0.32,0.3,0.3,0.68,0.96,0.38,0.39
v8.csv,0.97,0.96,0.45,1.0,0.99,1.0,1.0,1.0,0.92,1.0,0.61,0.62,1.0
wikipediardware.csv,0.87,0.69,0.95,0.97,0.98,0.0,0.93,0.83,0.68,0.92,0.93,0.91,0.92
wxstudio.csv,0.33,0.21,0.25,0.18,0.31,1.0,0.33,0.23,0.97,0.22,0.07,0.45,0.53
xamj.csv,0.46,0.37,0.48,0.8,0.27,0.0,0.46,0.3,0.19,0.3,0.21,0.9,0.32
