,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.78,0.89,0.74,0.36,0.5,0.49,0.63,0.65,0.71,0.49,0.68,0.64,0.43
echongl.csv,0.58,0.59,0.46,0.58,0.37,0.7,0.47,0.58,0.74,0.94,0.66,0.72,0.67
les-indemodables.csv,0.54,0.57,0.77,0.43,0.62,0.37,0.47,0.63,0.58,0.6,0.59,0.55,0.89
mbse.csv,0.64,0.67,0.59,0.77,0.54,0.53,0.52,0.55,0.66,0.76,0.64,0.64,0.67
ns-3-dev-def-routing.csv,0.72,0.7,0.96,0.98,0.93,0.92,0.63,0.81,0.74,0.65,0.85,0.97,0.91
psycle.csv,0.47,0.49,0.33,0.36,0.32,0.35,0.41,0.4,0.46,0.47,0.36,0.46,0.44
qpe.csv,0.97,0.9,0.53,0.92,0.92,0.75,0.8,0.98,0.82,0.95,0.91,0.91,0.94
simplewebservices.csv,0.75,0.68,0.73,0.39,0.91,0.64,0.73,0.66,0.68,0.51,0.59,0.74,0.55
v8.csv,0.47,0.48,0.39,0.36,0.29,0.4,0.38,0.44,0.5,0.48,0.37,0.45,0.42
wikipediardware.csv,0.48,0.48,0.34,0.37,0.29,0.37,0.38,0.41,0.39,0.45,0.35,0.46,0.46
wxstudio.csv,0.74,0.88,0.84,0.83,0.76,0.64,0.81,0.69,0.58,0.81,0.96,0.64,0.7
xamj.csv,0.5,0.53,0.63,0.41,0.85,0.64,0.52,0.53,0.8,0.76,0.78,0.66,0.82
