,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.27,0.2,0.0,1.0,0.61,0.42,0.4,0.31,0.45,0.98,0.25,0.19,1.0
echongl.csv,0.74,0.38,0.66,0.31,0.0,0.44,0.71,0.69,0.29,0.2,0.57,0.65,0.0
les-indemodables.csv,0.41,0.15,0.16,0.39,0.47,0.53,0.5,0.15,0.27,0.0,0.3,0.17,0.14
mbse.csv,0.33,0.58,0.35,0.0,0.5,0.36,0.43,0.46,0.57,0.4,0.35,0.12,0.64
ns-3-dev-def-routing.csv,0.28,0.11,0.16,0.25,0.08,0.09,0.01,0.31,0.43,0.26,0.21,0.29,0.36
psycle.csv,0.74,0.0,0.75,0.89,0.89,0.83,0.72,0.85,0.76,0.66,0.84,0.58,0.43
qpe.csv,0.0,0.51,0.66,0.05,0.08,0.38,0.44,0.38,0.45,0.51,0.31,0.51,0.5
simplewebservices.csv,0.19,0.28,0.25,0.53,0.03,0.3,0.29,0.23,0.22,0.4,0.0,0.28,0.36
v8.csv,0.98,0.93,0.46,0.97,1.0,0.44,1.0,0.0,0.94,1.0,0.45,0.36,1.0
wikipediardware.csv,0.71,0.45,0.89,0.9,0.95,0.99,0.8,0.62,0.59,0.74,0.87,0.81,0.0
wxstudio.csv,0.47,0.2,0.27,0.21,0.08,0.3,0.28,0.31,0.04,0.28,0.12,0.32,0.5
xamj.csv,0.31,0.18,0.41,0.88,0.16,0.24,0.39,0.15,0.16,0.22,0.23,0.0,0.36
