,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.52,0.38,0.25,0.5,0.76,0.78,0.38,0.27,0.0,0.0,0.82,1.0,0.05,0.65,0.67,0.25,0.39,0.85,0.71,0.5
aubit4gl.csv,0.21,0.07,0.15,0.21,0.95,0.74,0.23,0.14,0.21,0.1,0.51,0.78,0.11,0.5,0.47,0.11,0.16,0.21,0.32,0.19
bionote.csv,0.6,0.06,0.25,0.11,0.52,0.81,0.15,0.27,0.0,0.0,0.77,1.0,0.0,0.67,0.67,1.0,0.47,0.4,0.56,0.41
bullet.csv,0.19,0.06,0.18,0.84,0.65,1.0,0.14,0.14,0.08,0.1,0.57,0.96,0.07,0.59,0.6,0.14,0.41,0.2,0.39,0.24
customwars.csv,0.23,0.0,0.22,0.29,0.53,0.65,0.08,1.0,0.4,0.0,0.46,0.67,0.1,0.38,0.25,0.0,0.32,0.15,0.42,0.19
findbugs.csv,0.4,0.07,0.36,0.25,0.55,0.86,0.18,0.18,0.0,0.08,0.67,0.62,0.0,0.67,0.53,0.21,0.51,0.2,1.0,0.28
frogatto.csv,0.29,0.11,0.15,0.43,0.56,0.74,0.18,0.19,0.11,0.08,1.0,0.85,0.0,0.57,0.52,0.17,0.25,0.18,0.45,0.29
grisbi.csv,0.32,0.09,0.16,0.24,0.56,0.8,0.13,0.16,0.14,0.07,0.58,1.0,0.13,0.59,0.54,0.16,0.32,0.21,0.34,0.22
lsb.csv,0.31,0.08,0.16,0.97,0.57,0.8,0.15,0.14,0.15,0.09,0.6,0.91,0.14,0.52,0.67,0.11,0.3,0.21,0.4,0.2
oscarmcmaster.csv,0.29,0.0,0.0,0.17,0.67,0.76,0.08,0.42,0.0,0.0,0.67,1.0,0.2,0.6,0.68,0.29,0.29,0.55,0.44,0.98
plearn.csv,1.0,0.1,0.25,0.32,0.53,0.77,0.21,0.21,0.18,0.07,0.53,0.79,0.12,0.57,0.53,0.0,0.58,0.22,0.41,0.18
psrchive.csv,0.4,0.25,1.0,0.2,0.8,0.73,0.25,0.1,0.25,0.0,0.71,1.0,0.0,0.6,0.71,0.12,0.27,0.12,0.55,0.24
re2c.csv,0.38,1.0,0.22,0.27,0.61,0.67,0.05,0.13,0.17,0.09,0.44,0.67,0.09,0.55,0.48,0.06,0.35,0.14,0.45,0.22
rebecca-aiml.csv,0.52,0.5,0.23,0.35,0.54,0.88,0.0,0.21,0.44,0.11,0.73,0.93,0.19,0.71,0.36,0.25,1.0,0.23,0.4,0.23
rtrt-on-gpu.csv,0.48,0.11,0.21,0.7,0.63,0.76,0.11,0.22,0.91,0.06,0.56,0.95,0.17,0.72,0.45,0.11,0.41,0.19,0.31,0.17
stemkit.csv,0.54,0.0,0.0,0.86,0.33,0.5,0.0,0.5,0.25,1.0,1.0,0.75,0.0,0.57,1.0,0.0,0.56,0.05,0.0,0.17
tcvp.csv,0.12,0.1,0.36,0.35,0.8,0.92,0.0,0.18,0.12,0.12,0.67,0.5,1.0,0.67,0.0,0.25,1.0,0.12,0.42,0.1
tktoolkit.csv,0.33,0.11,0.18,0.4,0.55,0.77,1.0,0.14,0.17,0.09,0.52,0.81,0.11,0.53,0.33,0.12,0.29,0.17,0.48,0.16
tycho.csv,0.3,0.29,0.24,0.38,0.57,0.72,0.17,0.17,0.0,0.03,0.62,0.92,0.0,0.5,1.0,0.16,0.29,0.37,0.48,0.28
xstore.csv,0.36,0.12,0.23,0.2,0.56,0.82,0.14,0.14,0.2,0.05,0.66,0.87,0.1,0.98,0.77,0.19,0.35,0.22,0.42,0.24
