,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.38,0.16,0.19,0.1,0.08,0.25,0.1,0.25,0.07,0.22,0.09,0.33,0.18
e-bio-flow.csv,0.15,0.21,0.35,0.26,0.03,0.34,0.48,0.58,0.22,0.42,0.17,0.36,0.11
jas.csv,0.24,0.45,0.0,0.24,0.02,0.43,0.39,0.23,0.08,0.19,0.11,0.63,0.36
jbpm.csv,0.21,0.14,0.0,0.59,0.0,0.27,0.0,0.29,0.0,0.1,0.0,0.05,0.0
jgossipforum.csv,0.27,0.41,0.19,0.12,0.06,0.44,0.23,0.45,0.38,0.53,0.18,0.62,0.0
jmonkeyengine.csv,0.22,0.49,0.1,0.29,0.02,0.54,0.52,0.33,0.03,0.13,0.1,0.72,0.07
joustsim.csv,0.12,0.31,0.22,0.31,0.06,0.44,0.49,0.21,0.21,0.8,0.14,0.7,0.23
log4net.csv,0.33,0.25,0.33,0.2,0.27,0.17,0.0,0.43,0.0,0.44,0.25,0.24,0.0
ngl.csv,0.29,0.4,0.29,0.26,0.04,0.43,0.41,0.59,0.07,0.41,0.15,0.67,0.14
piccolo2d.csv,0.29,0.45,0.45,0.27,0.14,0.29,0.4,0.51,0.0,0.32,0.3,0.49,0.0
pustefix.csv,0.07,0.2,0.21,0.29,0.04,0.56,0.47,0.37,0.03,0.0,0.05,0.47,0.09
reaper3d.csv,0.1,0.45,0.07,0.13,0.0,0.26,0.14,0.47,0.08,0.29,0.26,0.45,0.22
sblim.csv,0.16,0.66,0.38,0.46,0.0,0.26,0.34,0.52,0.0,0.48,0.08,0.67,0.0
