,array4j.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv
array4j.csv,0.5,0.23,0.38,0.21,0.67,0.39,0.11,0.23,0.8,0.45,0.12,0.22,0.75
e-bio-flow.csv,0.19,0.36,0.54,0.73,0.33,0.26,0.44,0.6,0.2,0.36,0.62,0.23,0.12
jas.csv,0.38,0.73,0.0,0.54,0.33,0.43,0.44,0.23,1.0,0.18,0.38,0.64,0.75
jbpm.csv,0.19,0.09,0.0,0.83,0.0,0.17,0.0,0.2,0.0,0.09,0.0,0.03,0.0
jgossipforum.csv,0.56,0.59,0.15,0.19,0.33,0.78,0.22,0.5,1.0,0.45,0.88,0.57,0.0
jmonkeyengine.csv,0.44,0.86,0.15,0.71,0.33,0.83,0.61,0.37,0.4,0.27,0.5,0.84,0.5
joustsim.csv,0.12,0.82,0.31,0.6,0.33,0.96,0.83,0.17,0.8,0.91,0.88,0.82,0.62
log4net.csv,0.56,0.18,0.54,0.27,1.0,0.13,0.0,0.47,0.0,0.73,0.38,0.16,0.0
ngl.csv,0.69,0.82,1.0,0.98,0.67,0.87,0.44,0.9,1.0,0.73,0.88,0.66,0.75
piccolo2d.csv,0.62,0.59,0.85,0.54,0.67,0.26,0.44,0.57,0.0,0.55,0.38,0.38,0.0
pustefix.csv,0.06,0.23,0.46,0.5,0.33,0.7,0.72,0.37,0.2,0.0,0.12,0.45,0.62
reaper3d.csv,0.12,0.55,0.08,0.33,0.0,0.39,0.11,0.47,0.8,0.18,0.75,0.33,0.25
sblim.csv,0.12,0.91,0.62,0.42,0.0,0.22,0.28,0.57,0.0,0.64,0.12,0.82,0.0
