,nh3d.csv,jvcl.csv,opentibia.csv,jmri.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,magicwars.csv,bochs.csv,haphazard.csv,ipfire-wall.csv,m-a-d-n-e-s-s.csv,all-plasm.csv,galaxium.csv,smartgwt.csv,tweetsharp.csv,gisgraphy.csv
all-plasm.csv,0.96,0.71,0.93,0.67,0.89,0.62,0.65,0.44,0.84,0.92,0.67,0.94,0.6,0.89,0.98,0.61,0.79
blogentis.csv,0.75,0.67,0.58,0.5,0.47,0.59,0.51,0.99,0.62,0.35,0.53,0.71,0.35,0.4,0.58,0.51,0.38
bochs.csv,0.51,0.33,0.45,0.52,0.42,0.47,0.45,0.37,0.68,0.52,0.35,0.43,0.46,0.43,0.63,0.38,0.59
galaxium.csv,0.4,0.4,0.39,0.45,0.42,0.94,0.6,0.98,0.48,0.42,0.4,0.55,0.34,0.51,0.61,0.46,0.59
gisgraphy.csv,0.0,0.67,0.43,0.56,0.59,0.57,0.68,0.36,0.96,0.75,0.41,0.9,0.86,0.69,0.99,0.39,0.74
haphazard.csv,0.51,0.33,0.56,0.51,0.53,0.64,0.91,0.99,0.71,0.57,0.93,0.5,0.38,0.46,0.74,0.48,0.46
ipfire-wall.csv,0.48,0.95,0.5,0.57,0.73,0.97,0.41,0.97,0.49,0.34,0.44,0.5,0.32,0.95,0.44,0.52,0.35
jmri.csv,0.91,0.34,0.57,0.53,0.78,0.51,0.41,0.41,0.84,0.62,0.36,0.62,0.55,0.75,0.89,0.44,0.55
jvcl.csv,0.92,0.71,0.62,0.66,0.75,0.95,0.49,0.63,0.76,0.79,0.6,0.85,0.56,0.86,0.54,0.45,0.78
kaffeine.csv,0.36,0.31,0.38,0.38,0.35,0.45,0.34,0.36,0.36,0.32,0.36,0.36,0.26,0.33,0.42,0.36,0.29
m-a-d-n-e-s-s.csv,0.51,0.41,0.8,0.66,0.78,0.92,0.5,0.97,0.83,0.46,0.58,0.56,0.38,0.94,0.54,0.82,0.91
magicwars.csv,0.51,0.32,0.44,0.38,0.4,0.41,0.39,0.73,0.56,0.34,0.36,0.39,0.31,0.36,0.28,0.39,0.3
nh3d.csv,0.83,0.0,0.44,0.85,0.4,0.41,0.38,0.35,0.64,0.35,0.36,0.39,0.31,0.35,0.55,0.39,0.31
opentibia.csv,0.49,0.78,0.45,0.65,0.77,0.47,0.58,0.46,0.93,0.84,0.34,0.6,0.52,0.57,0.65,0.41,0.44
sarasvati.csv,0.43,0.41,0.47,0.57,0.88,0.6,0.59,0.79,0.97,0.46,0.48,0.92,0.5,0.4,0.42,0.6,0.48
smartgwt.csv,0.48,0.46,0.4,0.47,0.44,0.76,0.44,0.4,0.43,0.4,0.34,0.45,0.34,0.48,0.34,0.34,0.31
tweetsharp.csv,0.75,0.97,0.56,0.53,0.75,0.47,0.59,0.37,0.88,0.77,0.42,0.58,0.74,0.57,0.97,0.5,0.56
