,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,bdbbasic.csv,pgui.csv,google-gears.csv,bibletime.csv,crux-framework.csv
aufs.csv,0.21,0.25,0.64,0.19,0.33,0.31,0.02,0.0,0.16,0.07,0.53
bdbbasic.csv,0.51,0.69,0.24,0.34,0.25,0.48,0.18,0.11,0.19,0.29,0.47
bibletime.csv,0.44,0.37,0.37,0.44,0.54,1.0,1.0,1.0,0.32,0.14,0.52
crux-framework.csv,0.36,0.27,0.04,0.28,0.05,0.74,0.39,0.44,0.27,0.29,0.14
etherboot.csv,0.0,0.25,0.0,0.06,0.33,0.02,0.08,0.89,0.03,1.0,0.75
gnukeda.csv,0.83,0.47,0.42,0.19,0.77,0.68,0.45,0.48,0.92,0.79,0.65
google-gears.csv,0.44,0.75,0.38,0.22,0.72,0.91,0.73,0.86,0.27,0.43,0.58
jnode.csv,0.03,0.4,0.18,0.41,0.1,0.12,0.2,0.02,0.27,0.14,0.22
openmeetings.csv,0.11,0.21,0.39,0.03,0.48,0.42,0.16,0.45,0.16,0.21,0.3
pgui.csv,0.65,0.98,0.0,0.44,0.8,0.74,0.88,0.3,0.51,0.86,1.0
wxcrp.csv,0.23,0.84,0.92,0.69,1.0,0.64,0.41,0.56,0.76,0.57,0.64
