,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.43,0.95,0.12,0.47,0.56,0.53,0.67,0.46,0.62,0.42
jmule.csv,0.57,0.4,0.44,0.79,0.86,0.52,0.19,0.74,0.9,0.92
nosleepsoftware.csv,0.5,0.6,0.88,0.05,0.21,0.21,0.55,0.35,0.36,0.5
open-ms.csv,0.87,0.7,1.0,0.05,0.3,0.38,0.52,0.93,0.43,0.96
qgo.csv,0.97,0.58,0.5,0.21,0.3,0.32,0.64,0.51,0.58,0.71
rezilla.csv,0.73,0.51,0.69,0.95,0.78,0.78,0.64,0.66,0.57,0.88
riff-evolve.csv,0.53,0.53,0.75,0.16,0.56,0.95,0.69,0.54,0.58,0.58
uwom.csv,0.8,0.51,0.69,0.42,0.59,0.62,0.36,0.64,0.93,0.25
virtuoso.csv,0.87,0.97,1.0,0.89,0.94,1.0,0.88,0.89,0.93,0.83
yield.csv,0.83,0.74,0.81,0.21,0.95,0.67,0.76,0.89,0.81,0.96
