,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.65,0.96,0.11,0.24,0.64,0.58,0.3,0.22,0.35,0.48
jmule.csv,0.55,0.58,0.14,0.42,0.54,0.57,0.18,0.23,0.3,1.0
nosleepsoftware.csv,0.6,0.61,0.93,0.5,0.52,0.76,0.28,0.24,0.45,0.52
open-ms.csv,0.43,0.52,0.42,1.0,0.38,0.46,0.31,1.0,0.17,0.44
qgo.csv,1.0,0.65,0.44,0.57,0.9,0.63,0.3,0.28,0.33,0.5
rezilla.csv,0.45,0.45,0.24,1.0,0.56,0.55,0.22,0.19,0.16,0.45
riff-evolve.csv,0.64,0.62,0.44,0.23,0.81,0.99,0.32,0.24,0.23,0.54
uwom.csv,0.5,0.58,0.27,0.33,0.56,0.47,0.65,0.2,0.99,0.75
virtuoso.csv,0.47,0.53,0.25,0.3,0.48,0.49,0.92,0.2,0.32,0.41
yield.csv,0.6,0.52,0.3,0.5,0.98,0.48,0.28,0.23,0.25,0.44
