,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.52,0.96,0.12,0.32,0.59,0.55,0.41,0.29,0.44,0.44
jmule.csv,0.56,0.47,0.22,0.55,0.66,0.54,0.18,0.35,0.45,0.96
nosleepsoftware.csv,0.55,0.61,0.9,0.1,0.3,0.33,0.37,0.28,0.4,0.51
open-ms.csv,0.58,0.6,0.59,0.1,0.34,0.42,0.39,0.97,0.24,0.61
qgo.csv,0.98,0.61,0.47,0.31,0.45,0.42,0.41,0.36,0.42,0.59
rezilla.csv,0.56,0.48,0.35,0.97,0.65,0.65,0.33,0.3,0.25,0.59
riff-evolve.csv,0.58,0.57,0.56,0.19,0.66,0.97,0.44,0.33,0.33,0.56
uwom.csv,0.62,0.54,0.39,0.37,0.57,0.54,0.46,0.31,0.96,0.38
virtuoso.csv,0.61,0.68,0.41,0.45,0.63,0.66,0.9,0.33,0.47,0.55
yield.csv,0.69,0.62,0.44,0.3,0.97,0.56,0.41,0.36,0.39,0.61
