,qgo.csv,firebird.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,riff-evolve.csv,virtuoso.csv,open-ms.csv,uwom.csv,jmule.csv
firebird.csv,0.6,0.06,0.94,0.88,0.53,0.6,0.58,0.69,0.5,0.7
jmule.csv,0.59,0.68,1.06,0.57,0.69,0.62,0.85,0.67,0.6,0.08
nosleepsoftware.csv,0.58,0.58,0.13,0.95,0.81,0.79,0.62,0.71,0.65,0.63
open-ms.csv,0.98,0.76,0.47,0.95,0.83,0.76,0.59,0.07,0.83,1.0
qgo.csv,0.03,0.54,0.54,0.79,0.7,0.71,0.58,0.59,0.53,0.65
rezilla.csv,0.82,0.85,0.81,0.05,0.62,0.66,0.76,0.78,0.93,0.91
riff-evolve.csv,0.53,0.59,0.41,0.88,0.46,0.06,0.53,0.64,0.69,0.59
uwom.csv,0.71,0.63,0.71,0.7,0.59,0.77,0.65,0.74,0.07,0.75
virtuoso.csv,0.84,0.96,1.0,0.98,0.94,1.0,0.12,0.89,0.57,1.01
yield.csv,0.51,0.78,0.67,0.8,0.05,0.79,0.64,0.79,0.7,1.0
