,neoengine.csv,omseek.csv,pcsx2.csv,doomlegacy.csv
doomlegacy.csv,1.0,0.85,0.5,0.71
neoengine.csv,0.62,0.76,0.92,0.69
omseek.csv,0.26,0.76,0.36,0.09
pcsx2.csv,0.55,0.76,0.75,0.28
