,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.48,0.37,0.39,0.27,0.36,0.2,0.49,0.56,0.23,0.57,0.41,0.57
aubit4gl.csv,0.09,0.35,0.31,0.08,0.69,0.08,0.51,0.18,0.5,0.3,0.38,0.31
liferea.csv,0.45,0.0,0.29,0.57,0.21,0.19,0.27,0.6,0.22,0.1,0.16,0.44
moving-pictures.csv,0.45,0.16,0.31,0.29,0.45,0.21,0.66,0.13,0.41,0.29,0.36,0.58
olex2.csv,0.31,0.11,0.38,0.4,0.66,0.1,0.25,0.77,0.21,0.24,0.22,0.7
opensim4opencog.csv,0.49,0.09,0.38,0.47,0.63,0.34,0.46,0.57,0.3,0.33,0.33,0.66
plearn.csv,0.53,0.07,0.35,0.44,0.62,0.23,0.41,0.66,0.42,0.3,0.28,0.64
psrchive.csv,0.51,0.42,0.58,0.35,0.68,0.19,0.52,0.71,0.52,0.29,0.38,0.59
re2c.csv,0.35,0.92,0.27,0.24,0.3,0.14,0.58,0.47,0.52,0.13,0.0,0.5
rebecca-aiml.csv,0.38,0.2,0.3,0.4,0.69,0.2,0.65,0.69,0.8,0.35,0.15,0.63
wxcode.csv,0.39,0.19,0.26,0.34,0.55,0.32,0.33,0.42,0.15,0.41,0.5,0.4
xfce.csv,0.43,0.13,0.27,0.44,0.63,0.23,0.59,0.72,0.5,0.34,0.17,0.65
