,plearn.csv,re2c.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,moving-pictures.csv,xfce.csv,rebecca-aiml.csv,adobe-source.csv,wxcode.csv,olex2.csv
adobe-source.csv,0.18,0.31,0.15,0.0,0.12,0.13,0.29,0.21,0.73,0.15,0.21,0.18
aubit4gl.csv,0.01,0.16,0.17,0.23,0.38,0.43,0.23,0.19,0.57,0.07,0.13,0.14
liferea.csv,0.64,0.37,0.52,0.27,0.29,0.15,0.13,0.49,0.14,0.2,0.21,0.37
moving-pictures.csv,0.29,0.33,0.48,0.11,0.29,0.12,0.35,0.03,0.01,0.14,0.21,0.61
olex2.csv,0.12,0.59,0.44,0.16,0.54,0.21,0.23,0.53,0.48,0.11,0.12,0.25
opensim4opencog.csv,0.47,0.69,0.44,0.3,0.75,0.28,0.29,0.21,0.39,0.39,0.24,0.34
plearn.csv,0.32,0.92,0.37,0.27,0.38,0.45,0.58,0.29,0.79,0.58,0.47,0.23
psrchive.csv,0.38,0.18,0.24,0.68,0.77,0.54,0.39,0.86,0.45,0.32,0.25,0.31
re2c.csv,0.24,0.02,0.51,0.39,0.29,0.58,0.61,0.3,0.48,0.52,0.47,0.69
rebecca-aiml.csv,0.32,0.75,0.73,0.8,0.81,0.81,0.9,0.4,0.14,0.61,0.74,0.93
wxcode.csv,0.28,0.25,0.17,0.25,0.56,0.28,0.26,0.12,0.45,0.27,0.18,0.06
xfce.csv,0.46,0.71,0.68,0.34,0.79,0.81,0.77,0.42,0.55,0.73,0.49,0.66
