,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.2,0.44,0.18,0.41,0.38,0.31,0.5,0.42,0.09,0.7,0.23,0.25
gamestone.csv,0.5,0.28,0.0,0.1,0.57,0.4,0.24,0.5,0.21,1.0,0.22,0.18
geochat.csv,0.0,0.2,0.06,0.44,0.65,0.3,0.29,0.42,0.14,0.15,0.24,0.44
igarden.csv,0.2,0.42,0.33,0.42,0.75,0.45,0.6,0.46,0.38,0.78,0.38,0.24
ingex.csv,0.2,0.38,0.22,0.27,0.52,0.64,0.61,0.36,0.17,0.36,0.36,0.38
lphant.csv,0.23,0.22,0.21,0.22,0.64,0.45,0.47,0.72,0.23,0.65,0.28,0.26
nabu-library.csv,0.2,0.31,0.22,0.2,0.8,0.39,0.0,0.2,0.0,0.56,0.25,0.24
nebuladevice.csv,0.1,0.58,0.0,0.28,0.45,0.31,0.07,0.12,0.34,0.45,0.28,0.0
owlapi.csv,0.0,0.27,0.37,0.27,0.51,0.43,0.83,0.34,0.18,0.31,0.21,0.27
pi-qmc.csv,0.33,0.3,0.22,0.26,0.67,0.43,0.46,0.41,0.18,0.64,0.22,0.27
trinitycore.csv,0.19,0.36,0.12,0.24,0.67,0.35,0.23,0.86,0.26,0.41,0.36,0.22
twostep.csv,0.25,0.37,0.17,0.29,0.46,0.39,0.77,0.41,0.19,0.52,0.27,0.25
