,gtad.csv,projectts.csv,scen-connect.csv,wxlua.csv,ipfire-wall.csv,cubefs.csv,mumble.csv,irplus.csv,powerfolder.csv,smartgwt.csv,ondex.csv,fleet-simulator.csv,hibernate.csv,geogebra.csv,quantlib.csv,tweetsharp.csv
cubefs.csv,0.75,0.5,0.88,0.21,0.59,1.0,0.64,0.57,0.68,0.81,0.59,0.78,0.57,0.7,0.37,0.33
fleet-simulator.csv,0.0,0.0,0.0,0.0,0.21,0.61,0.0,0.36,0.57,0.81,0.35,1.0,0.6,0.63,0.0,0.0
geogebra.csv,0.0,0.06,0.6,0.26,0.07,0.06,0.1,0.52,0.38,0.52,0.18,0.67,0.52,0.93,0.0,0.06
gtad.csv,1.0,0.0,0.0,0.01,0.0,0.05,0.19,0.0,0.0,0.01,0.04,0.0,0.02,0.09,0.0,0.0
hibernate.csv,0.5,0.43,0.94,0.2,0.25,0.51,0.44,0.44,0.74,0.47,0.52,0.0,0.94,0.53,0.25,0.28
ipfire-wall.csv,0.54,0.17,0.0,0.3,0.95,0.3,0.48,0.41,0.8,0.55,0.25,0.35,0.29,0.46,0.2,0.17
irplus.csv,0.51,0.6,0.9,0.37,0.58,0.43,0.54,1.0,0.77,0.57,0.44,0.12,0.45,0.56,0.45,0.56
mumble.csv,0.55,0.1,0.98,0.06,0.33,0.25,0.97,0.56,0.81,0.71,0.37,0.42,0.41,0.49,0.1,0.3
ondex.csv,0.0,0.04,0.93,0.39,0.0,0.27,0.19,0.41,0.45,0.15,0.93,0.38,0.23,0.34,0.25,0.09
powerfolder.csv,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,1.0,0.01,0.0,0.0,0.05,0.04,0.0,0.02
projectts.csv,0.49,1.0,0.86,0.34,0.51,0.64,0.57,0.59,0.64,0.67,0.57,0.59,0.62,0.69,0.42,0.5
quantlib.csv,0.85,0.22,0.0,0.19,0.2,0.44,0.45,0.45,0.3,0.65,0.46,0.61,0.35,0.5,0.97,0.17
smartgwt.csv,0.52,0.26,0.95,0.18,0.43,0.25,0.05,0.47,0.94,0.97,0.45,0.31,0.46,0.58,0.38,0.22
tweetsharp.csv,0.94,0.54,0.98,0.49,0.68,0.54,0.56,0.32,0.94,0.65,0.48,0.0,0.46,0.54,0.57,0.98
wxlua.csv,0.36,0.52,0.8,1.0,0.53,0.32,0.63,0.21,0.22,0.13,0.26,0.4,0.13,0.26,0.33,0.0
