,triplea.csv,mclient-mume.csv,jython.csv,freelords.csv,jmonkeyengine.csv,aufs.csv,toped.csv,calcubetimer.csv,st-filteredstatistics.csv,aten.csv,papertoolkit.csv,primefaces.csv,chaosrts.csv,web-cat.csv,emono.csv
aufs.csv,0.54,0.68,0.44,0.7,0.29,0.53,0.91,0.77,0.73,1.0,0.06,0.55,0.85,0.36,0.65
calcubetimer.csv,0.67,0.17,0.13,0.74,0.27,0.32,0.78,1.0,0.83,1.0,0.05,0.88,0.88,0.38,0.65
chaosrts.csv,0.53,0.67,0.12,0.87,0.29,0.32,0.84,0.93,0.83,1.0,0.07,0.82,0.97,0.42,0.61
emono.csv,0.64,0.29,0.41,0.71,0.2,0.32,0.9,0.93,0.75,1.0,0.04,0.58,0.87,0.4,0.76
freelords.csv,0.69,0.69,0.12,0.82,0.31,0.4,0.89,0.94,0.79,1.0,0.06,0.64,0.9,0.42,0.63
jmonkeyengine.csv,0.5,0.74,0.46,0.64,0.5,0.0,0.88,0.5,0.71,0.99,0.12,0.7,0.91,0.48,0.63
jython.csv,0.7,0.43,0.45,0.76,0.27,0.24,0.86,1.0,0.74,1.0,0.0,0.54,0.86,0.4,0.74
mclient-mume.csv,0.67,0.9,0.1,0.85,0.39,1.0,0.9,1.0,0.86,0.99,0.08,0.65,0.95,0.44,0.62
papertoolkit.csv,0.64,1.0,0.48,0.69,0.33,0.5,1.0,0.92,0.5,1.0,0.23,0.7,0.67,0.22,0.76
primefaces.csv,0.61,0.53,0.13,0.81,0.28,0.32,0.85,0.93,0.89,0.99,0.05,0.81,0.88,0.42,0.66
st-filteredstatistics.csv,0.6,0.52,0.13,0.76,0.24,0.35,0.85,0.94,0.97,0.99,0.04,0.6,0.89,0.38,0.65
toped.csv,0.63,0.47,0.1,0.76,0.24,0.28,0.98,0.93,0.78,0.99,0.04,0.61,0.87,0.38,0.7
triplea.csv,0.85,0.7,0.6,0.79,0.33,0.39,0.89,0.94,0.8,1.0,0.05,0.66,0.88,0.43,0.68
web-cat.csv,0.62,0.69,0.52,0.77,0.28,0.31,0.9,0.94,0.82,0.99,0.07,0.58,0.89,0.67,0.67
