,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.63,0.38,0.67,0.67,0.67,0.54,0.64,0.61,1.0,0.56,0.55,0.45
gamestone.csv,0.04,1.0,0.19,0.0,0.09,0.07,0.05,0.04,0.14,0.0,0.18,0.16
gbif-providertoolkit.csv,0.15,0.29,0.02,0.04,1.0,0.0,0.05,0.1,0.01,0.1,0.1,0.11
heekscad.csv,0.97,0.64,0.69,0.69,0.58,0.57,0.4,0.47,0.58,0.59,0.58,0.52
igarden.csv,0.35,0.29,0.31,1.0,0.09,0.49,0.45,0.13,0.24,0.61,0.29,0.36
levent.csv,0.64,0.55,0.59,0.7,0.59,0.98,0.26,0.49,0.56,0.27,0.52,0.26
libmesh.csv,0.36,0.4,0.11,0.33,0.17,0.15,0.93,0.38,0.24,0.48,0.26,0.52
openmsx.csv,0.43,0.59,0.33,0.71,0.54,0.49,0.34,0.91,0.46,0.45,0.43,0.43
pnotepad.csv,0.77,0.64,0.66,0.45,0.44,0.72,0.52,0.54,0.55,0.0,0.98,0.39
quark.csv,0.01,0.0,0.06,0.04,0.0,0.0,0.1,0.0,0.02,0.93,0.0,0.28
tango-cs.csv,0.49,0.0,0.34,0.36,0.4,0.19,0.31,0.26,0.34,0.54,0.37,1.0
xcsoar.csv,0.69,0.42,0.96,0.45,0.67,0.4,0.22,0.38,0.55,0.62,0.53,0.58
