,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,libmesh.csv,openmsx.csv,doomlegacy.csv,quark.csv,pnotepad.csv,tango-cs.csv
doomlegacy.csv,0.5,0.52,0.46,0.36,0.4,0.45,0.67,0.46,0.4,0.46,0.57,0.49
gamestone.csv,0.67,0.88,0.9,0.5,0.67,0.67,0.83,0.86,0.93,0.88,0.86,0.92
gbif-providertoolkit.csv,0.9,0.92,0.5,0.67,0.93,0.0,0.5,0.83,0.67,0.89,0.75,0.92
heekscad.csv,0.43,0.42,0.4,0.35,0.44,0.47,0.42,0.52,0.41,0.44,0.43,0.41
igarden.csv,0.76,0.8,0.9,0.71,0.75,0.59,0.63,0.93,0.9,0.45,0.67,0.86
levent.csv,0.37,0.78,0.42,0.42,0.45,0.5,0.5,0.47,0.37,0.73,0.46,0.74
libmesh.csv,0.76,0.81,0.94,0.89,0.9,0.88,0.88,0.98,0.96,0.68,0.94,0.62
openmsx.csv,0.64,0.62,0.88,0.41,0.52,0.6,0.68,0.72,0.74,0.43,0.63,0.43
pnotepad.csv,0.41,0.49,0.34,0.3,0.35,0.38,0.43,0.36,0.32,0.34,0.4,0.34
quark.csv,0.0,0.0,0.75,0.5,0.0,0.0,0.8,0.0,0.67,0.92,0.0,0.76
tango-cs.csv,0.6,0.92,0.92,0.75,0.71,0.91,0.58,0.81,0.69,0.38,0.74,0.6
xcsoar.csv,0.39,0.53,0.49,0.46,0.42,0.58,0.62,0.51,0.34,0.32,0.5,0.33
