,id,count_recall,count_precision,count_pf,cdom_score,bellwether
56,2,2,2,1,1,logicmail.csv
53,3,1,3,6,6,jahshaka.csv
51,4,2,7,15,17,beast-mcmc.csv
58,5,1,4,6,5,chaperon.csv
25,6,1,8,19,18,forester-atv.csv
20,7,2,3,9,8,jmoney.csv
31,8,1,6,13,12,madman.csv
28,10,1,1,1,0,atunes.csv
19,11,1,2,4,3,columba.csv
57,13,1,2,2,2,amanda.csv
59,14,1,9,20,18,bibedt.csv
52,15,1,7,13,13,pgui.csv
22,16,1,5,7,8,cortex-vfx.csv
27,17,2,5,15,19,xamj.csv
17,18,2,1,2,2,lmms.csv
29,19,3,4,8,9,quarkplusplus.csv
16,20,1,1,6,4,foursquared.csv
32,21,5,4,7,8,ppcboot.csv
30,26,2,2,6,6,h2database.csv
18,27,1,5,11,10,retromenu.csv
26,28,1,9,11,13,algebsql.csv
21,29,2,12,12,16,geogebra.csv
37,31,1,7,11,10,gbif-providertoolkit.csv
6,32,1,4,8,9,m-a-d-n-e-s-s.csv
15,33,1,7,17,19,ktc.csv
14,34,2,9,16,16,acdk.csv
7,35,1,10,18,17,netatalk.csv
36,36,1,5,7,6,sepgsql.csv
42,37,3,5,9,15,robocode.csv
35,38,1,3,8,6,k3d.csv
43,39,1,8,12,11,rocrail.csv
54,40,2,2,5,5,aime.csv
49,41,3,11,13,16,mptvseries.csv
23,42,1,5,8,7,projecteqemu.csv
34,43,1,3,4,4,ossbuild.csv
33,44,1,2,5,4,tolven.csv
24,45,1,4,7,6,qtractor.csv
48,46,1,5,12,11,kmatplot.csv
55,47,1,9,15,14,xbplayer.csv
50,48,2,2,3,6,ftm.csv
3,50,2,6,9,9,crisscross.csv
10,51,2,6,16,14,powerfolder-.csv
44,52,1,2,3,2,graphmak.csv
41,53,3,3,13,10,motu.csv
40,54,1,1,8,7,zact.csv
45,55,1,10,18,17,wxcode.csv
9,56,2,5,13,13,ofbiz.csv
5,57,2,1,1,1,jmol.csv
11,58,1,2,4,3,maidsafe-dht.csv
1,59,1,3,12,11,fulguro.csv
13,60,1,3,5,5,mvnforum.csv
0,61,1,7,10,9,alembik.csv
39,62,1,1,1,1,silvertree.csv
46,63,1,1,1,0,jrdf.csv
47,64,2,8,11,11,java-gnome.csv
38,65,1,8,16,16,bulmages.csv
2,66,1,4,9,9,opensim4opencog.csv
12,67,1,9,14,15,stajistics.csv
4,68,2,4,12,10,trinitycore.csv
8,69,1,5,9,8,continuum-ide.csv
