,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.26,0.75,1.0,0.94,0.18,0.22,0.64,0.71,0.0,0.71,0.57
cubefs.csv,0.49,0.28,0.24,0.86,0.04,0.61,0.55,1.0,0.03,0.8,0.47
iaml.csv,0.39,0.75,0.22,0.86,0.0,0.56,0.98,0.73,0.0,0.65,0.51
ivataopenportal.csv,0.37,0.24,0.28,0.88,0.0,1.0,0.48,0.75,0.0,0.68,0.41
mb-unit.csv,0.38,0.33,0.16,0.99,0.04,0.55,0.6,0.73,0.0,0.79,0.45
mvdsv.csv,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nova.csv,0.46,1.0,0.24,0.93,0.0,0.53,0.58,0.73,0.0,0.68,0.54
olex2.csv,0.45,0.4,0.25,0.9,0.35,0.61,0.65,0.73,0.0,0.68,1.0
openwbem.csv,1.0,0.26,0.22,0.85,0.08,0.53,0.55,0.72,0.03,0.81,0.45
xcmetadataservicestoolkit.csv,0.43,0.22,0.2,0.86,0.1,0.52,0.53,0.69,0.02,0.97,0.48
