,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,iaml.csv,cubefs.csv,elynx.csv,xcmetadataservicestoolkit.csv,olex2.csv
crisscross.csv,0.91,0.77,0.1,0.83,0.68,0.98,0.8,0.82,1.01,0.8,0.63
cubefs.csv,0.62,0.71,0.78,0.69,1.07,0.75,0.74,0.0,0.49,0.6,0.7
iaml.csv,0.65,0.77,0.59,0.71,1.07,0.7,0.03,0.69,1.17,0.92,0.68
ivataopenportal.csv,0.72,0.68,0.77,0.67,1.01,0.03,0.83,0.73,1.04,0.78,0.8
mb-unit.csv,0.74,0.53,0.99,0.03,1.02,0.74,0.66,0.64,1.29,0.58,0.92
mvdsv.csv,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
nova.csv,0.67,0.0,0.58,0.65,1.07,0.73,0.7,0.64,1.11,0.85,0.63
olex2.csv,0.59,0.85,0.6,0.74,0.17,0.77,0.73,0.66,1.09,0.78,0.02
openwbem.csv,0.03,0.65,0.65,0.96,0.8,0.85,0.78,0.67,0.63,0.53,0.72
xcmetadataservicestoolkit.csv,0.61,0.72,0.8,0.84,0.83,0.96,0.93,0.82,0.66,0.08,0.85
