,flylinkdc.csv,vdsf.csv,nuttx.csv,dvt.csv,ldview.csv,fw4spl.csv,ctrlr.csv,ipfire-wall.csv,uclmda.csv,jruby.csv,oorexx.csv,fulguro.csv
ctrlr.csv,0.08,0.0,0.13,0.01,0.3,0.0,0.0,0.11,0.0,0.16,0.04,0.19
dvt.csv,0.25,0.73,0.59,0.0,0.43,0.39,0.34,0.24,0.5,0.68,0.36,0.62
flylinkdc.csv,0.0,0.06,0.0,0.2,0.19,0.29,0.12,0.3,0.17,0.37,0.16,0.29
fulguro.csv,0.16,0.7,0.64,0.43,0.14,0.09,0.44,0.27,0.0,0.05,0.0,0.0
fw4spl.csv,0.12,0.02,0.0,0.54,0.32,0.0,0.41,0.35,0.5,0.11,0.12,0.27
ipfire-wall.csv,0.06,0.18,0.21,0.15,0.16,0.15,0.32,0.0,0.33,0.16,0.32,0.2
jruby.csv,0.83,0.99,0.97,0.53,0.38,0.51,0.46,0.24,0.17,0.05,0.68,0.2
ldview.csv,0.27,0.75,0.38,0.73,0.0,0.45,0.27,0.22,0.33,0.21,0.32,0.48
nuttx.csv,0.72,0.97,0.0,0.47,0.22,0.85,0.31,0.54,0.83,0.89,0.6,0.56
oorexx.csv,0.62,0.37,0.44,0.26,0.46,0.61,0.47,0.59,0.83,0.63,0.0,0.56
uclmda.csv,0.65,0.84,0.72,0.24,0.54,0.84,0.17,0.54,0.0,0.16,0.12,0.59
vdsf.csv,0.92,0.0,0.97,0.84,1.0,0.94,1.0,0.97,1.0,0.89,1.0,0.96
