,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.4,0.38,0.45,0.57,0.68,0.89,0.67,0.55,0.63,0.96,0.8,0.7,0.75
biopax.csv,0.83,1.0,0.81,0.88,0.73,0.93,0.91,0.95,0.63,1.0,0.87,1.0,0.21
gdis.csv,0.77,0.69,0.48,0.63,0.57,0.56,0.75,0.61,0.16,1.09,0.77,0.8,0.46
kml.csv,0.57,0.99,0.84,0.61,0.36,0.98,0.99,1.0,0.39,0.98,0.94,1.0,1.0
ppcboot.csv,0.67,0.85,0.49,0.53,0.5,0.61,0.51,0.58,0.45,1.0,0.92,0.92,0.25
repositorium.csv,0.85,0.95,1.0,0.86,0.97,0.35,0.98,0.97,0.83,0.73,0.75,0.92,0.98
rsyslog.csv,0.37,0.87,0.56,0.73,0.61,0.9,0.82,0.82,0.45,1.0,0.94,1.0,0.68
simplewebservices.csv,0.96,0.86,0.94,0.98,0.82,1.03,0.95,0.56,0.77,0.29,0.52,0.49,0.82
ultimairis.csv,0.63,1.0,0.62,0.81,1.0,0.82,0.39,0.78,0.77,1.05,0.94,0.88,0.41
wow-qrsk.csv,0.81,0.57,0.34,0.65,0.94,1.0,0.96,0.88,0.88,0.82,0.97,0.66,0.64
wxstudio.csv,0.77,0.78,1.03,0.93,0.76,0.69,0.9,1.0,0.89,1.0,0.42,0.89,0.97
xbg.csv,0.76,1.0,0.94,0.63,0.82,0.82,0.76,0.34,0.83,1.14,0.86,0.79,0.87
xqilla.csv,0.88,0.8,0.73,0.85,0.8,0.91,0.77,0.73,0.87,0.07,0.44,0.71,0.86
