,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.69,0.7,0.68,0.47,0.33,0.45,0.79,0.62,0.39,0.33,0.22,0.62,0.37
biopax.csv,1.0,1.0,0.94,0.89,0.86,0.91,1.0,1.0,0.86,1.0,0.84,1.0,0.79
gdis.csv,0.81,0.72,0.54,0.42,0.92,0.55,0.26,0.5,0.84,0.0,0.54,0.7,0.62
kml.csv,0.58,1.0,0.95,0.46,0.72,0.91,0.98,1.0,0.75,1.0,0.92,1.0,1.0
ppcboot.csv,0.92,1.0,0.87,0.59,0.89,0.45,0.68,0.75,0.67,1.0,0.68,0.91,0.77
repositorium.csv,0.15,0.05,0.01,0.16,0.14,0.91,0.04,0.25,0.23,1.0,0.35,0.53,0.31
rsyslog.csv,0.73,0.98,0.84,0.73,0.42,1.0,0.81,0.75,0.61,1.0,0.73,1.0,0.8
simplewebservices.csv,0.96,0.78,0.87,0.95,0.81,0.73,0.91,0.62,0.93,1.0,0.92,0.69,0.51
ultimairis.csv,0.92,1.0,0.87,0.86,1.0,0.18,0.68,1.0,0.91,0.0,0.43,0.79,0.61
wow-qrsk.csv,0.19,0.55,0.89,0.36,0.06,0.0,0.04,0.12,0.12,1.0,0.03,0.36,0.39
wxstudio.csv,0.81,0.32,0.46,0.89,0.42,0.55,0.7,0.0,0.54,0.0,0.68,0.11,0.32
xbg.csv,0.46,0.0,0.07,0.68,0.28,0.18,0.26,0.75,0.23,0.0,0.22,0.39,0.15
xqilla.csv,0.12,0.5,0.73,0.2,0.28,0.55,0.57,0.38,0.26,1.0,0.7,0.34,0.34
