,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.0,0.72,0.94,0.7,0.31,0.43,0.39,0.77,0.16,0.49,0.33,0.13,0.2,0.35,0.63,0.54,0.2,0.33
autofac.csv,0.5,0.8,0.06,0.15,0.17,0.5,0.46,0.76,0.09,0.57,0.86,0.68,0.52,0.41,0.15,0.56,0.2,0.5
azureus.csv,1.0,1.0,0.56,1.0,0.69,1.0,1.0,1.0,0.91,1.0,0.88,0.19,0.56,1.0,1.0,0.8,0.9,1.0
dsworkbench.csv,0.0,0.28,0.19,0.09,0.0,0.04,0.07,0.07,0.22,0.05,0.05,0.25,0.36,0.04,0.02,0.12,0.2,0.11
forester-atv.csv,0.5,0.28,0.38,0.24,0.0,0.11,0.05,0.0,0.34,0.03,0.21,0.43,0.36,0.02,0.3,0.05,0.2,0.0
freelords.csv,0.5,0.9,0.31,0.88,0.48,0.43,0.44,0.86,0.72,0.72,0.55,0.69,0.76,0.57,0.28,0.66,0.3,0.5
gabel.csv,0.0,0.38,0.31,0.03,0.17,0.07,0.2,0.5,0.09,0.15,0.4,0.19,0.08,0.18,0.0,0.32,0.1,0.08
gephex.csv,0.0,0.57,1.0,0.97,0.9,0.46,0.63,0.76,0.41,0.7,0.52,0.27,0.4,0.86,0.67,0.32,0.4,0.67
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.94,0.92,1.0,1.0,1.0,1.0,0.97
javaprofiler.csv,0.5,0.95,0.81,0.39,0.52,0.68,0.68,0.93,0.69,0.7,1.0,0.75,0.44,0.59,0.33,0.63,0.6,0.19
jpaul.csv,0.5,0.45,0.81,0.15,0.0,0.14,0.37,0.34,0.34,0.22,0.71,0.41,0.52,0.24,0.2,0.0,0.0,0.17
mycila.csv,1.0,0.25,0.88,0.79,0.81,0.36,0.54,0.46,0.94,0.48,0.21,0.36,0.6,0.67,0.57,0.68,0.3,0.53
neodatis-odb.csv,1.0,0.6,0.0,0.39,0.06,0.11,0.49,0.33,0.12,0.43,0.21,0.23,0.36,0.18,0.02,0.39,0.6,0.14
octet.csv,1.0,0.75,0.44,0.82,0.21,0.43,0.51,0.4,0.41,0.45,0.55,0.8,1.0,0.2,0.13,0.73,0.4,0.47
personalaccess.csv,0.0,0.6,0.44,0.36,0.19,0.21,0.54,0.37,0.28,0.46,0.52,0.55,0.28,0.27,0.09,0.61,0.2,0.25
rcp-company-uibindings.csv,0.0,0.72,0.75,0.33,0.48,0.54,0.34,0.74,0.38,0.33,0.36,0.43,0.28,0.53,0.33,0.63,0.0,0.19
scenemonitor.csv,0.0,0.55,0.56,0.15,0.17,0.14,0.12,0.21,0.25,0.22,0.36,0.5,0.32,0.02,0.09,0.22,0.3,0.08
servicestack.csv,0.0,0.22,0.38,0.0,0.0,0.11,0.02,0.14,0.03,0.03,0.14,0.09,0.2,0.0,0.17,0.0,0.1,0.0
