,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.8,0.82,0.94,0.75,0.49,0.5,0.71,0.86,0.82,0.55,0.87,0.78,0.74,0.67,0.7,0.62,0.57,0.75
autofac.csv,0.72,0.86,0.92,0.28,0.75,0.7,0.5,0.82,0.86,0.62,0.99,0.77,0.66,0.59,0.44,0.73,0.5,0.56
azureus.csv,1.02,1.0,0.67,1.0,0.86,1.0,1.0,1.0,0.93,1.0,0.93,0.33,0.67,1.01,1.0,0.84,0.9,1.0
dsworkbench.csv,0.76,0.38,0.3,0.87,0.88,0.82,1.0,0.92,0.59,0.88,0.9,0.84,0.76,0.86,0.88,0.73,0.8,0.89
forester-atv.csv,0.88,0.36,0.61,0.73,0.97,0.82,0.94,0.89,0.53,1.0,0.83,0.63,0.69,0.86,0.47,0.96,0.75,0.97
freelords.csv,0.51,0.9,0.54,0.89,0.75,0.6,0.53,0.93,0.73,0.73,0.62,0.7,0.79,0.71,0.5,0.81,0.46,0.57
gabel.csv,0.96,0.49,0.69,0.72,0.62,0.85,0.46,0.74,0.66,0.2,0.9,0.57,0.57,0.74,0.94,0.82,0.75,0.87
gephex.csv,0.8,0.9,1.0,0.98,0.91,0.54,0.7,0.79,0.64,0.79,0.87,0.73,0.59,0.91,0.7,0.42,0.59,0.87
google-collections.csv,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,1.0,1.0,0.94,0.92,1.0,1.0,1.0,1.0,0.97
javaprofiler.csv,0.66,0.95,0.85,0.57,0.62,0.72,0.68,0.93,0.85,0.71,1.0,0.78,0.57,0.65,0.53,0.74,0.61,0.27
jpaul.csv,0.76,0.55,0.87,0.77,1.0,0.96,0.37,0.78,0.61,0.55,0.87,0.65,0.62,0.62,0.46,1.0,0.84,0.51
mycila.csv,1.03,0.74,0.89,0.81,0.82,0.64,0.71,0.84,0.97,0.48,0.45,0.53,0.75,0.73,0.95,0.76,0.53,0.85
neodatis-odb.csv,1.25,0.67,0.82,0.71,0.94,0.94,0.96,0.44,0.71,0.87,0.64,0.57,0.58,0.74,0.94,0.66,0.69,0.62
octet.csv,1.03,0.75,0.49,0.84,0.7,0.62,0.66,0.59,0.57,0.58,0.58,0.83,1.0,0.24,0.55,0.76,0.47,0.8
personalaccess.csv,0.78,0.61,0.65,0.5,0.76,0.75,0.55,0.75,0.57,0.46,0.72,0.58,0.33,0.51,0.48,0.8,0.46,0.64
rcp-company-uibindings.csv,0.28,0.74,0.76,0.62,0.81,0.62,0.45,0.83,0.71,0.5,0.61,0.56,0.59,0.78,0.57,0.74,0.13,0.8
scenemonitor.csv,0.78,0.72,0.65,0.57,0.74,0.67,0.54,0.76,0.35,0.43,0.7,0.53,0.62,0.71,0.71,0.82,0.69,0.9
servicestack.csv,0.95,0.48,0.85,0.86,1.0,0.98,0.94,0.82,1.0,1.0,0.91,0.88,0.78,0.86,0.29,1.0,0.91,0.99
