,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,1.0,0.49,0.16,0.64,0.3,0.21,0.1,0.49,0.45,0.34,0.2
ivef-sdk.csv,0.65,0.71,1.0,0.54,0.38,0.06,0.24,0.72,0.65,0.57,0.32
jaolt.csv,0.7,0.66,0.05,0.55,0.99,0.72,0.6,0.51,0.65,0.48,0.49
jmule.csv,0.4,0.36,0.11,0.34,0.6,0.66,0.56,0.54,0.16,0.31,1.0
jstock.csv,0.17,0.16,0.04,0.0,0.14,0.27,1.0,0.17,0.11,0.2,0.51
lphant.csv,0.64,0.56,0.98,0.47,0.67,0.93,0.39,0.73,0.62,0.56,0.52
novembre.csv,0.19,0.94,0.15,0.28,0.34,0.06,0.27,0.32,0.11,0.2,0.1
oorexx.csv,0.6,0.62,0.14,0.51,0.52,0.61,0.69,0.68,0.78,0.98,0.6
pi-qmc.csv,0.51,0.55,0.09,0.26,0.5,0.68,0.41,0.96,0.26,0.35,0.54
qedo.csv,0.02,0.0,0.0,0.0,0.05,0.0,0.1,0.0,0.93,0.04,0.1
yaprm.csv,0.38,0.37,0.18,0.98,0.31,0.06,0.62,0.27,0.69,0.41,0.36
