,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,1.0,0.47,0.13,0.7,0.27,0.18,0.08,0.45,0.41,0.31,0.17
ivef-sdk.csv,0.84,0.8,1.0,0.89,0.34,0.05,0.23,0.73,0.77,0.86,0.29
jaolt.csv,0.79,0.8,0.04,0.76,0.99,0.73,0.69,0.5,0.77,0.75,0.46
jmule.csv,0.37,0.33,0.09,0.32,0.66,0.77,0.54,0.5,0.14,0.28,1.0
jstock.csv,0.14,0.13,0.03,0.0,0.12,0.23,1.0,0.14,0.09,0.17,0.46
lphant.csv,0.95,0.6,0.99,0.89,0.7,0.91,0.38,0.77,0.82,0.83,0.5
novembre.csv,0.16,0.93,0.12,0.24,0.29,0.05,0.23,0.27,0.09,0.17,0.08
oorexx.csv,0.74,0.73,0.13,0.54,0.66,0.64,0.92,0.68,0.82,1.0,0.71
pi-qmc.csv,0.51,0.53,0.07,0.22,0.47,0.68,0.38,0.95,0.23,0.31,0.5
qedo.csv,0.02,0.0,0.0,0.0,0.04,0.0,0.08,0.0,0.91,0.03,0.08
yaprm.csv,0.33,0.33,0.15,0.97,0.27,0.05,0.62,0.23,0.68,0.36,0.33
