,wow-qrsk.csv,m-a-d-n-e-s-s.csv,kindb.csv,kftpgrabber.csv,netatalk.csv,illumination.csv,quickfast.csv
illumination.csv,0.23,0.38,0.62,0.16,0.55,0.95,0.11
kftpgrabber.csv,0.47,0.37,0.66,0.98,0.61,0.33,0.25
kindb.csv,0.7,0.62,1.0,0.65,0.58,0.53,0.68
m-a-d-n-e-s-s.csv,0.46,1.0,0.53,0.45,0.17,0.28,0.32
netatalk.csv,0.51,0.4,0.61,0.54,0.99,0.39,0.5
quickfast.csv,0.61,0.64,0.59,0.77,0.73,0.61,0.98
wow-qrsk.csv,0.97,0.56,0.0,0.57,0.32,0.14,0.2
