,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.0,0.68,0.0,0.0,0.58,0.5,0.33,0.0,0.52,0.56,0.78,0.0
fityk.csv,0.47,0.53,0.67,0.55,0.44,0.43,0.26,0.55,0.66,0.73,0.41,0.4
hatari.csv,0.71,0.41,0.36,0.57,0.57,0.56,0.66,0.11,0.49,0.3,0.67,0.54
lmms.csv,0.25,0.54,0.42,0.67,0.43,0.52,0.58,0.47,0.44,0.85,0.41,0.59
mecat.csv,0.25,0.1,0.37,0.12,0.27,0.01,0.13,0.0,0.17,0.97,0.0,0.11
nullc.csv,0.6,0.69,0.34,0.63,0.65,0.7,0.25,0.45,0.49,0.65,0.07,0.63
oscarmcmaster.csv,0.64,0.64,0.61,0.64,0.54,0.54,0.58,0.61,0.54,0.82,0.39,0.56
superwaba.csv,0.61,0.6,0.71,0.45,0.4,0.49,0.58,0.5,0.62,0.51,0.33,0.47
tycho.csv,0.55,0.43,0.65,0.5,0.53,0.37,0.13,0.77,0.39,0.37,0.48,0.47
vienna-add-in.csv,0.53,0.31,0.43,0.54,0.5,0.7,0.38,0.66,0.33,0.33,0.11,0.61
voms.csv,0.6,0.39,0.44,0.54,0.45,0.44,0.88,0.62,0.52,0.83,0.17,0.61
wsmt.csv,0.04,0.28,0.56,0.12,0.27,0.48,0.0,0.31,0.0,0.0,0.76,0.39
