,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.37,0.68,0.63,0.07,0.98,0.48
kmess.csv,0.61,0.42,0.39,0.52,0.4,0.97
minig.csv,0.41,0.45,1.0,0.52,0.24,0.62
ossbuild.csv,0.06,0.13,0.38,0.93,0.02,0.19
rezilla.csv,1.0,0.24,0.32,0.36,0.53,0.56
webdriver.csv,0.19,0.93,0.39,0.69,0.38,0.56
