,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.34,0.94,0.8,0.86,0.69,0.8,0.73,0.48,0.93,0.8,0.83,0.0,0.79,0.83,0.7,0.75,0.86,0.75
arsenal-1.csv,0.5,0.6,0.57,0.89,0.67,0.59,0.89,0.67,0.75,0.92,0.63,0.0,0.47,0.0,0.8,0.9,0.88,0.75
atomsite.csv,0.68,0.59,0.6,0.52,0.6,0.35,0.72,0.88,0.92,0.35,0.59,0.82,0.48,0.64,0.77,0.71,0.85,0.8
barracudamvc.csv,0.39,0.37,0.55,0.27,0.4,0.36,0.41,0.33,0.36,0.34,0.37,0.44,0.38,0.4,0.44,0.45,0.33,0.41
bionote.csv,0.0,0.9,0.0,0.86,0.5,0.0,0.91,0.83,0.91,0.0,0.0,0.0,0.0,0.0,0.88,0.93,0.88,0.5
bulmages.csv,0.5,0.96,0.79,0.67,0.67,0.75,0.5,0.67,0.0,0.88,0.0,0.95,0.67,0.82,0.0,0.96,0.5,0.75
fm-classic.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
hazelcast.csv,0.31,0.31,0.44,0.26,0.33,0.33,0.35,0.29,0.33,0.29,0.35,0.39,0.31,0.37,0.37,0.42,0.3,0.3
jppf-project.csv,0.39,0.36,0.95,0.32,0.4,0.39,0.39,0.41,0.57,0.31,0.44,0.44,0.35,0.39,0.41,0.49,0.45,0.39
megasquirtavr.csv,0.39,0.37,0.77,0.28,0.39,0.38,0.4,0.31,0.35,0.32,0.48,0.72,0.33,0.55,0.37,0.44,0.35,0.54
mevenide.csv,0.37,0.52,0.55,0.39,0.54,0.82,0.59,0.75,0.89,0.38,0.8,0.92,0.51,0.51,0.56,0.85,0.46,0.59
mumble.csv,0.35,0.51,0.88,0.32,0.71,0.59,0.69,0.69,0.69,0.89,0.8,0.62,0.79,0.61,0.92,0.86,0.88,0.8
mycila.csv,0.62,0.73,0.77,0.42,0.74,0.52,0.56,0.83,0.47,0.44,0.91,0.54,0.63,0.92,0.92,0.67,0.5,0.68
opengs.csv,0.42,0.6,0.75,0.62,0.62,0.42,0.59,0.5,0.62,0.62,0.78,0.92,0.81,0.75,0.81,0.75,0.39,0.62
openintents.csv,0.0,0.52,0.75,0.52,0.42,0.34,0.36,0.5,0.51,0.61,0.8,0.97,0.43,0.91,0.45,0.71,0.47,0.52
tweetsharp.csv,0.4,0.42,0.89,0.68,0.67,0.5,0.82,0.37,0.39,0.69,0.68,0.42,0.64,0.42,0.58,0.55,0.4,0.46
xharbour.csv,0.39,0.33,0.47,0.3,0.56,0.36,0.41,0.31,0.44,0.31,0.37,0.44,0.46,0.45,0.44,0.48,0.34,0.44
