,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.48,0.15,0.2,0.13,0.36,0.15,0.2,0.95,0.2,0.0,0.0,0.0,0.21,0.32,0.5,0.1,0.12,0.07
arsenal-1.csv,0.02,0.34,0.75,0.13,0.09,0.81,0.11,0.05,0.0,0.0,0.2,0.0,0.51,0.0,0.25,0.1,0.14,0.07
atomsite.csv,0.23,0.44,0.85,0.48,0.91,0.78,0.31,0.23,0.15,1.0,0.6,0.38,0.4,0.4,0.5,0.34,0.21,0.07
barracudamvc.csv,0.9,1.0,0.9,1.0,0.95,1.0,0.98,1.0,1.0,0.67,0.9,0.95,0.87,0.92,0.88,0.76,0.97,0.95
bionote.csv,0.0,0.1,0.0,0.13,0.0,0.04,0.13,0.14,0.11,0.0,0.0,0.0,0.01,0.04,1.0,0.14,0.14,0.05
bulmages.csv,0.02,0.24,0.2,0.0,0.09,0.07,0.02,0.0,0.0,0.67,0.0,0.9,0.03,0.32,0.0,0.17,0.03,0.02
fm-classic.csv,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0
hazelcast.csv,0.71,0.95,0.6,0.96,0.91,0.81,1.0,1.0,0.85,1.0,0.9,0.76,0.93,0.84,0.88,0.86,0.97,0.74
jppf-project.csv,1.0,0.88,0.35,0.78,0.95,0.93,0.76,0.77,0.41,0.67,0.8,1.0,1.0,1.0,0.75,0.9,0.69,1.0
megasquirtavr.csv,1.0,0.66,0.65,0.96,1.0,0.96,0.96,0.91,1.0,0.67,0.3,0.52,0.99,0.68,1.0,0.62,0.88,0.67
mevenide.csv,0.53,0.46,0.75,0.7,0.27,0.22,0.49,0.36,0.07,0.0,0.4,0.24,0.4,0.64,0.75,0.93,0.6,0.31
mumble.csv,0.47,0.35,0.2,0.65,0.27,0.37,0.24,0.36,0.35,0.0,0.1,0.33,0.21,0.92,0.5,0.1,0.14,0.12
mycila.csv,0.4,0.26,0.45,0.61,0.36,0.52,0.42,0.27,0.67,1.0,1.0,0.43,0.34,0.24,0.38,0.21,0.53,0.33
opengs.csv,0.54,0.36,0.3,0.3,0.41,0.67,0.47,0.59,0.96,0.33,0.1,0.05,0.22,0.4,0.75,0.38,0.74,0.29
openintents.csv,0.01,0.35,0.2,0.91,0.59,0.63,0.64,0.68,0.56,0.33,0.1,0.24,0.45,0.32,0.75,0.24,0.52,0.38
tweetsharp.csv,0.72,0.76,0.25,0.48,0.36,0.74,0.25,0.86,0.93,0.33,0.2,0.76,0.39,0.84,0.38,0.83,0.72,0.93
xharbour.csv,1.0,0.96,0.7,0.83,0.64,1.0,0.89,0.95,0.91,1.0,0.9,0.95,0.5,0.72,0.88,0.97,0.9,0.74
