,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.58,0.85,0.8,0.88,0.65,0.85,0.8,0.05,0.8,1.0,1.01,1.0,0.79,0.68,0.51,0.9,0.88,0.93
arsenal-1.csv,0.98,0.74,1.0,0.89,0.91,0.19,0.94,0.96,1.0,1.02,0.9,1.0,0.9,1.0,0.75,0.9,0.86,0.93
atomsite.csv,0.78,0.86,0.81,0.64,0.09,0.56,0.7,0.78,0.88,0.72,0.64,0.64,1.06,0.66,0.53,0.7,1.28,0.94
barracudamvc.csv,0.95,0.05,0.95,1.0,1.0,1.0,1.0,0.97,1.0,0.94,1.0,1.0,0.76,0.96,0.8,0.98,1.0,0.93
bionote.csv,1.0,0.9,1.0,0.88,1.0,0.96,0.96,0.87,0.89,1.0,1.0,1.0,0.99,0.96,0.0,0.87,0.86,0.95
bulmages.csv,0.98,0.78,0.81,1.0,0.91,0.93,0.99,1.0,1.0,0.39,1.0,0.1,0.97,0.82,1.0,0.86,0.97,1.0
fm-classic.csv,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.98,1.0,1.0,0.97,1.0,1.0
hazelcast.csv,0.51,1.0,0.48,0.94,0.68,0.61,0.0,0.84,0.83,0.99,0.74,0.7,1.0,0.61,0.87,0.84,0.03,0.84
jppf-project.csv,1.0,0.86,0.68,0.73,1.0,0.84,0.46,0.75,0.9,0.97,0.86,0.99,0.0,1.0,0.86,0.87,0.31,1.0
megasquirtavr.csv,1.0,0.73,0.35,0.97,0.98,0.97,0.7,0.72,0.99,0.9,0.9,0.75,1.0,0.73,1.0,0.64,1.01,0.93
mevenide.csv,0.54,0.93,0.95,0.6,0.83,0.79,0.87,0.69,0.93,1.2,0.65,0.77,0.78,0.53,0.44,0.07,0.4,0.91
mumble.csv,0.59,0.76,0.8,0.6,0.75,0.67,0.76,0.66,0.67,1.01,0.91,0.69,0.79,0.08,0.52,0.91,0.86,0.94
mycila.csv,0.61,0.8,0.86,0.53,0.68,0.73,0.62,0.75,0.75,0.59,0.02,0.74,0.83,0.77,0.65,0.85,1.1,0.85
opengs.csv,0.49,0.73,0.7,0.75,0.65,0.67,0.8,0.54,0.04,0.73,0.92,0.96,0.79,0.62,0.32,0.65,1.03,0.76
openintents.csv,0.99,0.69,0.8,0.09,0.6,0.61,0.38,0.48,0.58,0.71,0.93,0.83,0.57,0.71,0.51,0.78,0.48,0.7
tweetsharp.csv,0.46,0.65,0.77,0.58,0.84,0.76,0.8,0.79,0.9,0.78,0.93,0.68,0.97,0.88,0.85,0.83,0.28,0.07
xharbour.csv,0.05,1.0,0.45,0.84,0.69,1.0,1.01,0.68,0.55,0.87,1.0,0.93,0.56,0.63,0.84,0.85,1.01,0.59
