,xharbour.csv,barracudamvc.csv,megasquirtavr.csv,openintents.csv,atomsite.csv,arsenal-1.csv,hazelcast.csv,alembik.csv,opengs.csv,fm-classic.csv,mycila.csv,bulmages.csv,jppf-project.csv,mumble.csv,bionote.csv,mevenide.csv,duplicati.csv,tweetsharp.csv
alembik.csv,0.89,0.94,0.8,0.43,0.62,0.8,1.0,1.0,0.73,0.0,0.0,0.0,1.0,0.67,0.4,0.75,1.0,0.75
arsenal-1.csv,1.0,0.84,0.17,0.33,0.67,1.0,0.67,0.33,0.0,0.0,0.11,0.0,0.89,0.0,0.4,0.3,1.0,0.75
atomsite.csv,0.91,0.78,0.23,0.48,1.0,0.57,0.94,0.62,0.32,0.06,0.22,0.36,0.84,0.36,0.31,0.32,0.92,0.6
barracudamvc.csv,0.81,0.99,0.21,0.41,0.31,0.47,0.84,0.42,0.41,0.03,0.18,0.2,0.93,0.27,0.15,0.21,0.98,0.74
bionote.csv,0.0,1.0,0.0,0.43,0.0,1.0,0.64,0.5,0.55,0.0,0.0,0.0,1.0,1.0,1.0,0.29,1.0,1.0
bulmages.csv,1.0,0.89,0.29,0.0,0.67,0.5,0.5,0.0,0.0,0.12,0.0,1.0,1.0,0.21,0.0,0.2,1.0,0.25
fm-classic.csv,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0
hazelcast.csv,0.89,0.83,0.38,0.42,0.39,0.55,1.0,0.46,0.42,0.04,0.22,0.23,0.91,0.36,0.13,0.26,1.0,0.72
jppf-project.csv,0.82,0.84,0.33,0.44,0.31,0.49,0.91,0.44,0.3,0.03,0.19,0.21,1.0,0.28,0.12,0.25,1.0,0.74
megasquirtavr.csv,0.82,0.84,1.0,0.41,0.33,0.46,0.88,0.48,0.42,0.03,0.11,0.19,0.92,0.28,0.13,0.29,0.98,0.68
mevenide.csv,0.9,0.76,0.18,0.48,0.25,0.55,0.79,0.5,0.44,0.0,0.27,0.42,0.9,0.39,0.24,1.0,1.0,0.59
mumble.csv,0.89,0.82,0.5,0.48,0.43,0.59,1.0,0.62,0.59,0.0,0.2,0.33,1.0,1.0,0.33,0.21,1.0,0.5
mycila.csv,0.95,0.82,0.16,0.54,0.42,0.45,0.92,0.5,0.41,0.07,0.91,0.2,0.89,0.46,0.25,0.18,0.97,0.64
opengs.csv,0.94,0.84,0.5,0.44,0.43,0.5,0.81,0.54,0.98,0.05,0.11,0.08,0.95,0.5,0.38,0.39,0.98,0.75
openintents.csv,1.0,0.88,1.0,1.0,0.39,0.53,0.97,0.58,0.51,0.06,0.1,0.16,0.98,0.36,0.21,0.29,1.0,0.76
tweetsharp.csv,0.9,0.87,0.28,0.58,0.24,0.48,0.82,0.44,0.42,0.03,0.09,0.24,0.86,0.27,0.09,0.25,1.0,1.0
xharbour.csv,0.99,0.83,0.37,0.41,0.34,0.47,0.83,0.5,0.54,0.05,0.18,0.21,0.96,0.33,0.14,0.27,0.98,0.79
