,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.18,0.44,0.17,0.15,0.4,0.66,0.24,0.0,0.25,0.0,0.94
fceugc.csv,0.42,0.48,0.23,0.61,0.46,0.34,0.68,0.2,0.27,0.47,0.81
flexpay.csv,0.22,0.46,0.34,0.2,0.26,0.55,0.52,0.47,0.15,0.61,0.08
jstock.csv,0.08,0.54,0.25,0.3,0.32,0.39,0.43,0.75,0.15,0.41,0.56
keyczar.csv,0.1,0.22,0.07,0.22,0.18,0.18,0.23,0.11,0.3,0.8,0.31
modellus.csv,0.19,0.65,0.31,0.47,0.61,0.78,0.77,0.38,0.31,0.3,0.17
open-data-kit.csv,0.27,0.69,0.3,0.48,0.47,0.71,0.83,0.57,0.19,0.49,0.84
phet.csv,0.51,0.49,0.12,0.34,0.25,0.29,0.52,0.31,0.2,0.87,0.6
qtractor.csv,0.18,0.79,0.31,0.53,0.56,0.73,0.76,0.4,0.27,0.04,0.39
sumatrapdf.csv,0.34,0.74,0.31,0.51,0.75,0.72,0.77,0.53,0.34,0.69,0.82
synergyspace.csv,0.23,0.46,0.31,0.33,0.61,0.65,0.6,0.34,0.45,0.38,0.09
