,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.87,0.7,0.83,0.91,0.74,0.5,0.86,1.0,0.78,1.0,0.14
fceugc.csv,0.59,0.66,0.79,0.42,0.62,0.86,0.74,0.87,0.73,0.72,0.66
flexpay.csv,0.86,0.86,0.59,0.89,0.84,0.58,0.68,0.56,0.88,0.86,1.0
jstock.csv,0.95,0.61,0.71,0.78,0.81,0.75,0.72,0.18,0.89,0.74,0.6
keyczar.csv,0.93,0.98,0.96,0.85,1.07,0.94,0.92,0.98,0.74,0.47,0.85
modellus.csv,0.89,0.48,0.62,0.63,0.52,0.31,0.42,0.7,0.68,0.86,0.9
open-data-kit.csv,0.78,0.62,0.78,0.67,0.6,0.6,0.29,0.36,0.87,0.67,0.7
phet.csv,0.46,0.88,0.9,0.84,1.06,0.95,1.0,0.82,0.9,0.93,0.9
qtractor.csv,0.92,0.33,0.62,0.52,0.51,0.45,0.39,0.64,0.72,0.98,0.76
sumatrapdf.csv,0.87,0.56,0.91,0.76,0.28,0.53,0.87,0.53,0.72,0.61,0.61
synergyspace.csv,0.82,0.71,0.71,0.74,0.51,0.47,0.58,0.65,0.48,0.8,0.97
