,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.14,0.32,0.21,0.1,0.26,0.67,0.14,0.0,0.42,0.0,0.95
fceugc.csv,0.68,0.36,0.54,0.67,0.42,0.31,0.71,0.31,0.46,0.33,0.93
flexpay.csv,0.35,0.46,0.47,0.19,0.16,0.47,0.42,0.85,0.19,0.54,0.05
jstock.csv,0.07,0.46,0.35,0.24,0.19,0.26,0.29,0.92,0.12,0.27,0.41
keyczar.csv,0.07,0.18,0.04,0.19,0.23,0.14,0.16,0.15,0.27,0.75,0.22
modellus.csv,0.28,0.54,0.57,0.38,0.48,0.77,0.75,0.31,0.38,0.19,0.1
open-data-kit.csv,0.42,0.79,0.83,0.71,0.45,0.88,0.78,0.77,0.35,0.33,1.0
phet.csv,0.62,0.54,0.16,0.48,0.35,0.28,0.53,0.62,0.38,1.0,0.63
qtractor.csv,0.29,0.79,0.55,0.62,0.55,0.8,0.7,0.38,0.38,0.02,0.27
sumatrapdf.csv,0.74,0.86,0.97,0.86,0.77,0.85,0.93,1.0,0.73,0.6,0.93
synergyspace.csv,0.33,0.39,0.78,0.29,0.81,0.62,0.5,0.46,0.62,0.25,0.05
