,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv,factor.csv
factor.csv,0.14,0.17,0.28,0.09,0.02,0.38,0.09,0.02,0.52,0.0,0.13
fceugc.csv,0.49,0.17,0.65,0.26,0.22,0.51,0.68,0.53,0.5,0.27,0.65
flexpay.csv,0.56,0.67,0.27,0.37,0.04,0.23,0.36,0.53,0.34,0.73,0.3
jstock.csv,0.22,0.29,0.29,0.16,0.02,0.07,0.09,0.16,0.1,0.13,0.13
keyczar.csv,0.11,0.54,0.06,0.26,0.75,0.37,0.36,0.49,0.14,0.4,0.35
modellus.csv,0.51,0.12,0.45,0.12,0.05,0.2,0.34,0.09,0.28,0.27,0.04
open-data-kit.csv,0.52,0.58,0.76,0.6,0.25,0.59,0.18,0.28,0.58,0.07,0.7
phet.csv,0.26,0.75,0.32,0.65,0.84,0.62,0.89,0.72,0.65,0.93,0.83
qtractor.csv,0.58,0.25,0.43,0.35,0.24,0.41,0.25,0.16,0.37,0.0,0.22
sumatrapdf.csv,0.83,0.54,0.91,0.74,0.16,0.51,0.86,0.53,0.67,0.47,0.61
synergyspace.csv,0.48,0.38,0.68,0.21,0.47,0.28,0.3,0.37,0.29,0.27,0.17
