,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.41,0.43,0.69,0.39,0.34,0.29,0.47,0.43,0.33,0.39
haphazard.csv,0.79,0.67,0.68,0.59,0.57,0.45,0.9,0.38,0.8,0.46
jicarilla.csv,0.89,0.0,0.81,0.67,0.0,0.0,0.67,0.48,0.0,0.0
ondex.csv,0.54,0.96,0.86,0.52,0.59,0.67,0.0,0.75,0.71,0.69
optalgtoolkit.csv,0.46,0.46,0.7,0.36,0.52,0.53,0.38,0.33,0.4,0.4
ossim.csv,0.84,0.76,0.57,0.55,0.67,0.47,0.55,0.31,0.42,0.38
projectts.csv,0.47,0.5,0.53,0.62,0.4,0.3,0.59,0.83,0.37,0.42
sabbu.csv,0.45,0.54,0.86,0.54,0.54,0.8,0.52,0.83,0.6,0.47
vxl.csv,0.52,0.62,0.56,0.65,0.45,0.37,0.72,0.75,0.4,0.42
zact.csv,0.74,0.88,0.93,0.72,0.81,0.0,0.87,0.89,0.92,0.97
