,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.68,0.41,0.04,0.11,0.09,0.56,0.58,0.84,0.3,0.28
haphazard.csv,0.38,0.27,0.62,0.05,0.06,0.42,0.52,0.7,0.48,0.21
jicarilla.csv,0.15,0.0,0.83,0.0,0.0,0.0,0.1,0.54,0.0,0.0
ondex.csv,0.62,0.31,0.0,0.16,0.16,0.09,0.0,0.08,0.47,0.4
optalgtoolkit.csv,0.65,0.39,0.43,0.15,0.12,0.63,0.59,0.82,0.23,0.28
ossim.csv,0.36,0.21,0.33,0.25,0.0,0.39,0.5,0.75,0.21,0.3
projectts.csv,0.68,0.36,0.13,0.09,0.07,0.45,0.68,0.2,0.37,0.23
sabbu.csv,0.76,0.35,0.15,0.16,0.14,0.17,0.5,0.16,0.29,0.35
vxl.csv,0.61,0.34,0.24,0.13,0.05,0.39,0.55,0.29,0.3,0.25
zact.csv,0.48,0.04,0.37,0.14,0.23,0.0,0.23,0.23,0.24,0.42
